product_key,product_id,name,category,brand,price
1,P0000,Grocery Item 0,Grocery,,111.0
2,P0001,Grocery Item 1,Grocery,,1797.0
3,P0002,Home & Kitchen Item 2,Home & Kitchen,,8084.0
4,P0003,Electronics Item 3,Electronics,,38581.0
5,P0004,Home & Kitchen Item 4,Home & Kitchen,,4479.0
6,P0005,Apparel Item 5,Apparel,,2057.0
7,P0006,Personal Care Item 6,Personal Care,,1405.0
8,P0007,Home & Kitchen Item 7,Home & Kitchen,,2096.0
9,P0008,Apparel Item 8,Apparel,,4549.0
10,P0009,Personal Care Item 9,Personal Care,,1037.0
11,P0010,Home & Kitchen Item 10,Home & Kitchen,,6279.0
12,P0011,Grocery Item 11,Grocery,,457.0
13,P0012,Electronics Item 12,Electronics,,7384.0
14,P0013,Home & Kitchen Item 13,Home & Kitchen,,4081.0
15,P0014,Electronics Item 14,Electronics,,42417.0
16,P0015,Grocery Item 15,Grocery,,85.0
17,P0016,Grocery Item 16,Grocery,,1378.0
18,P0017,Grocery Item 17,Grocery,,901.0
19,P0018,Electronics Item 18,Electronics,,25654.0
20,P0019,Home & Kitchen Item 19,Home & Kitchen,,2396.0
21,P0020,Apparel Item 20,Apparel,,1286.0
22,P0021,Personal Care Item 21,Personal Care,,1166.0
23,P0022,Personal Care Item 22,Personal Care,,338.0
24,P0023,Personal Care Item 23,Personal Care,,378.0
25,P0024,Home & Kitchen Item 24,Home & Kitchen,,9099.0
26,P0025,Personal Care Item 25,Personal Care,,1229.0
27,P0026,Grocery Item 26,Grocery,,295.0
28,P0027,Personal Care Item 27,Personal Care,,166.0
29,P0028,Grocery Item 28,Grocery,,553.0
30,P0029,Grocery Item 29,Grocery,,1149.0
31,P0030,Home & Kitchen Item 30,Home & Kitchen,,5807.0
32,P0031,Electronics Item 31,Electronics,,11984.0
33,P0032,Electronics Item 32,Electronics,,24674.0
34,P0033,Apparel Item 33,Apparel,,2615.0
35,P0034,Home & Kitchen Item 34,Home & Kitchen,,3507.0
36,P0035,Grocery Item 35,Grocery,,746.0
37,P0036,Home & Kitchen Item 36,Home & Kitchen,,2218.0
38,P0037,Personal Care Item 37,Personal Care,,845.0
39,P0038,Electronics Item 38,Electronics,,37655.0
40,P0039,Grocery Item 39,Grocery,,1562.0
41,P0040,Grocery Item 40,Grocery,,883.0
42,P0041,Electronics Item 41,Electronics,,6713.0
43,P0042,Grocery Item 42,Grocery,,721.0
44,P0043,Apparel Item 43,Apparel,,1262.0
45,P0044,Apparel Item 44,Apparel,,4800.0
46,P0045,Personal Care Item 45,Personal Care,,1327.0
47,P0046,Electronics Item 46,Electronics,,28758.0
48,P0047,Electronics Item 47,Electronics,,11236.0
49,P0048,Grocery Item 48,Grocery,,1622.0
50,P0049,Grocery Item 49,Grocery,,701.0
51,P0050,Electronics Item 50,Electronics,,16968.0
52,P0051,Personal Care Item 51,Personal Care,,534.0
53,P0052,Personal Care Item 52,Personal Care,,261.0
54,P0053,Apparel Item 53,Apparel,,902.0
55,P0054,Grocery Item 54,Grocery,,687.0
56,P0055,Personal Care Item 55,Personal Care,,1208.0
57,P0056,Electronics Item 56,Electronics,,40975.0
58,P0057,Personal Care Item 57,Personal Care,,1218.0
59,P0058,Grocery Item 58,Grocery,,1906.0
60,P0059,Personal Care Item 59,Personal Care,,1447.0
61,P0060,Grocery Item 60,Grocery,,255.0
62,P0061,Home & Kitchen Item 61,Home & Kitchen,,1667.0
63,P0062,Grocery Item 62,Grocery,,1931.0
64,P0063,Home & Kitchen Item 63,Home & Kitchen,,2523.0
65,P0064,Grocery Item 64,Grocery,,601.0
66,P0065,Electronics Item 65,Electronics,,13971.0
67,P0066,Electronics Item 66,Electronics,,11181.0
68,P0067,Personal Care Item 67,Personal Care,,108.0
69,P0068,Electronics Item 68,Electronics,,36259.0
70,P0069,Electronics Item 69,Electronics,,35751.0
71,P0070,Grocery Item 70,Grocery,,881.0
72,P0071,Personal Care Item 71,Personal Care,,318.0
73,P0072,Grocery Item 72,Grocery,,375.0
74,P0073,Personal Care Item 73,Personal Care,,1249.0
75,P0074,Apparel Item 74,Apparel,,1171.0
76,P0075,Grocery Item 75,Grocery,,394.0
77,P0076,Apparel Item 76,Apparel,,1350.0
78,P0077,Electronics Item 77,Electronics,,35822.0
79,P0078,Apparel Item 78,Apparel,,1537.0
80,P0079,Apparel Item 79,Apparel,,4675.0
81,P0080,Apparel Item 80,Apparel,,3841.0
82,P0081,Electronics Item 81,Electronics,,49656.0
83,P0082,Personal Care Item 82,Personal Care,,659.0
84,P0083,Personal Care Item 83,Personal Care,,484.0
85,P0084,Home & Kitchen Item 84,Home & Kitchen,,9971.0
86,P0085,Apparel Item 85,Apparel,,986.0
87,P0086,Home & Kitchen Item 86,Home & Kitchen,,4457.0
88,P0087,Personal Care Item 87,Personal Care,,1465.0
89,P0088,Home & Kitchen Item 88,Home & Kitchen,,4153.0
90,P0089,Personal Care Item 89,Personal Care,,699.0
91,P0090,Grocery Item 90,Grocery,,328.0
92,P0091,Home & Kitchen Item 91,Home & Kitchen,,7742.0
93,P0092,Personal Care Item 92,Personal Care,,689.0
94,P0093,Grocery Item 93,Grocery,,560.0
95,P0094,Personal Care Item 94,Personal Care,,355.0
96,P0095,Home & Kitchen Item 95,Home & Kitchen,,5177.0
97,P0096,Personal Care Item 96,Personal Care,,1119.0
98,P0097,Electronics Item 97,Electronics,,12511.0
99,P0098,Home & Kitchen Item 98,Home & Kitchen,,4132.0
100,P0099,Grocery Item 99,Grocery,,1465.0
101,P0100,Apparel Item 100,Apparel,,2010.0
102,P0101,Personal Care Item 101,Personal Care,,345.0
103,P0102,Apparel Item 102,Apparel,,1585.0
104,P0103,Electronics Item 103,Electronics,,20129.0
105,P0104,Apparel Item 104,Apparel,,881.0
106,P0105,Electronics Item 105,Electronics,,49831.0
107,P0106,Home & Kitchen Item 106,Home & Kitchen,,3178.0
108,P0107,Apparel Item 107,Apparel,,2765.0
109,P0108,Electronics Item 108,Electronics,,42655.0
110,P0109,Electronics Item 109,Electronics,,47719.0
111,P0110,Apparel Item 110,Apparel,,1407.0
112,P0111,Electronics Item 111,Electronics,,32089.0
113,P0112,Electronics Item 112,Electronics,,27371.0
114,P0113,Apparel Item 113,Apparel,,4162.0
115,P0114,Apparel Item 114,Apparel,,1704.0
116,P0115,Electronics Item 115,Electronics,,29166.0
117,P0116,Grocery Item 116,Grocery,,891.0
118,P0117,Home & Kitchen Item 117,Home & Kitchen,,9501.0
119,P0118,Grocery Item 118,Grocery,,958.0
120,P0119,Apparel Item 119,Apparel,,1695.0
121,P0120,Apparel Item 120,Apparel,,3688.0
122,P0121,Grocery Item 121,Grocery,,435.0
123,P0122,Apparel Item 122,Apparel,,4513.0
124,P0123,Home & Kitchen Item 123,Home & Kitchen,,5487.0
125,P0124,Home & Kitchen Item 124,Home & Kitchen,,1801.0
126,P0125,Grocery Item 125,Grocery,,56.0
127,P0126,Home & Kitchen Item 126,Home & Kitchen,,8595.0
128,P0127,Apparel Item 127,Apparel,,1003.0
129,P0128,Electronics Item 128,Electronics,,35064.0
130,P0129,Personal Care Item 129,Personal Care,,692.0
131,P0130,Apparel Item 130,Apparel,,3886.0
132,P0131,Electronics Item 131,Electronics,,23822.0
133,P0132,Apparel Item 132,Apparel,,2821.0
134,P0133,Grocery Item 133,Grocery,,412.0
135,P0134,Home & Kitchen Item 134,Home & Kitchen,,1225.0
136,P0135,Home & Kitchen Item 135,Home & Kitchen,,9676.0
137,P0136,Electronics Item 136,Electronics,,43435.0
138,P0137,Home & Kitchen Item 137,Home & Kitchen,,6699.0
139,P0138,Grocery Item 138,Grocery,,1369.0
140,P0139,Apparel Item 139,Apparel,,4181.0
141,P0140,Apparel Item 140,Apparel,,2757.0
142,P0141,Home & Kitchen Item 141,Home & Kitchen,,7399.0
143,P0142,Grocery Item 142,Grocery,,378.0
144,P0143,Home & Kitchen Item 143,Home & Kitchen,,4613.0
145,P0144,Home & Kitchen Item 144,Home & Kitchen,,3187.0
146,P0145,Electronics Item 145,Electronics,,20363.0
147,P0146,Home & Kitchen Item 146,Home & Kitchen,,7300.0
148,P0147,Apparel Item 147,Apparel,,4675.0
149,P0148,Apparel Item 148,Apparel,,1399.0
150,P0149,Grocery Item 149,Grocery,,1527.0
151,P0150,Grocery Item 150,Grocery,,1119.0
152,P0151,Grocery Item 151,Grocery,,1462.0
153,P0152,Electronics Item 152,Electronics,,22813.0
154,P0153,Personal Care Item 153,Personal Care,,735.0
155,P0154,Home & Kitchen Item 154,Home & Kitchen,,1332.0
156,P0155,Electronics Item 155,Electronics,,42169.0
157,P0156,Electronics Item 156,Electronics,,20808.0
158,P0157,Grocery Item 157,Grocery,,566.0
159,P0158,Apparel Item 158,Apparel,,4841.0
160,P0159,Apparel Item 159,Apparel,,4571.0
161,P0160,Personal Care Item 160,Personal Care,,106.0
162,P0161,Apparel Item 161,Apparel,,660.0
163,P0162,Grocery Item 162,Grocery,,1623.0
164,P0163,Personal Care Item 163,Personal Care,,959.0
165,P0164,Personal Care Item 164,Personal Care,,798.0
166,P0165,Electronics Item 165,Electronics,,36524.0
167,P0166,Apparel Item 166,Apparel,,2034.0
168,P0167,Electronics Item 167,Electronics,,25076.0
169,P0168,Home & Kitchen Item 168,Home & Kitchen,,5115.0
170,P0169,Grocery Item 169,Grocery,,1250.0
171,P0170,Apparel Item 170,Apparel,,3792.0
172,P0171,Personal Care Item 171,Personal Care,,1257.0
173,P0172,Personal Care Item 172,Personal Care,,830.0
174,P0173,Electronics Item 173,Electronics,,29898.0
175,P0174,Home & Kitchen Item 174,Home & Kitchen,,4215.0
176,P0175,Apparel Item 175,Apparel,,3160.0
177,P0176,Electronics Item 176,Electronics,,27029.0
178,P0177,Grocery Item 177,Grocery,,1015.0
179,P0178,Apparel Item 178,Apparel,,4862.0
180,P0179,Grocery Item 179,Grocery,,1059.0
181,P0180,Apparel Item 180,Apparel,,4029.0
182,P0181,Personal Care Item 181,Personal Care,,133.0
183,P0182,Electronics Item 182,Electronics,,11762.0
184,P0183,Personal Care Item 183,Personal Care,,380.0
185,P0184,Apparel Item 184,Apparel,,3864.0
186,P0185,Electronics Item 185,Electronics,,18432.0
187,P0186,Home & Kitchen Item 186,Home & Kitchen,,7756.0
188,P0187,Personal Care Item 187,Personal Care,,248.0
189,P0188,Electronics Item 188,Electronics,,49627.0
190,P0189,Personal Care Item 189,Personal Care,,1003.0
191,P0190,Apparel Item 190,Apparel,,2308.0
192,P0191,Apparel Item 191,Apparel,,2289.0
193,P0192,Grocery Item 192,Grocery,,248.0
194,P0193,Electronics Item 193,Electronics,,21807.0
195,P0194,Electronics Item 194,Electronics,,43502.0
196,P0195,Home & Kitchen Item 195,Home & Kitchen,,2970.0
197,P0196,Grocery Item 196,Grocery,,1366.0
198,P0197,Personal Care Item 197,Personal Care,,1021.0
199,P0198,Apparel Item 198,Apparel,,1265.0
200,P0199,Grocery Item 199,Grocery,,1941.0
