store_key,store_id,store_name,city,region
1,ST000,RetailOS Delhi 1,Delhi,North
2,ST001,RetailOS Kolkata 4,Kolkata,East
3,ST002,RetailOS Chennai 3,Chennai,South
4,ST003,RetailOS Delhi 9,Delhi,North
5,ST004,RetailOS Delhi 10,Delhi,North
6,ST005,RetailOS Hyderabad 1,Hyderabad,South
7,ST006,RetailOS Mumbai 2,Mumbai,West
8,ST007,RetailOS Chennai 4,Chennai,South
9,ST008,RetailOS Jaipur 10,Jaipur,North
10,ST009,RetailOS Mumbai 9,Mumbai,West
11,ST010,RetailOS Chennai 9,Chennai,South
12,ST011,RetailOS Hyderabad 4,Hyderabad,South
13,ST012,RetailOS Ahmedabad 10,Ahmedabad,West
14,ST013,RetailOS Kolkata 1,Kolkata,East
15,ST014,RetailOS Bangalore 7,Bangalore,South
16,ST015,RetailOS Pune 5,Pune,West
17,ST016,RetailOS Bangalore 4,Bangalore,South
18,ST017,RetailOS Pune 2,Pune,West
19,ST018,RetailOS Delhi 7,Delhi,North
20,ST019,RetailOS Delhi 6,Delhi,North
21,ST020,RetailOS Pune 10,Pune,West
22,ST021,RetailOS Kolkata 1,Kolkata,East
23,ST022,RetailOS Ahmedabad 9,Ahmedabad,West
24,ST023,RetailOS Delhi 7,Delhi,North
25,ST024,RetailOS Delhi 9,Delhi,North
26,ST025,RetailOS Kolkata 10,Kolkata,East
27,ST026,RetailOS Pune 10,Pune,West
28,ST027,RetailOS Chennai 2,Chennai,South
29,ST028,RetailOS Mumbai 4,Mumbai,West
30,ST029,RetailOS Kolkata 2,Kolkata,East
31,ST030,RetailOS Chennai 2,Chennai,South
32,ST031,RetailOS Hyderabad 5,Hyderabad,South
33,ST032,RetailOS Ahmedabad 6,Ahmedabad,West
34,ST033,RetailOS Bangalore 6,Bangalore,South
35,ST034,RetailOS Pune 4,Pune,West
36,ST035,RetailOS Kolkata 2,Kolkata,East
37,ST036,RetailOS Surat 3,Surat,West
38,ST037,RetailOS Jaipur 4,Jaipur,North
39,ST038,RetailOS Bangalore 8,Bangalore,South
40,ST039,RetailOS Hyderabad 5,Hyderabad,South
41,ST040,RetailOS Jaipur 4,Jaipur,North
42,ST041,RetailOS Pune 1,Pune,West
43,ST042,RetailOS Chennai 1,Chennai,South
44,ST043,RetailOS Pune 7,Pune,West
45,ST044,RetailOS Kolkata 2,Kolkata,East
46,ST045,RetailOS Chennai 10,Chennai,South
47,ST046,RetailOS Pune 4,Pune,West
48,ST047,RetailOS Ahmedabad 7,Ahmedabad,West
49,ST048,RetailOS Ahmedabad 3,Ahmedabad,West
50,ST049,RetailOS Kolkata 3,Kolkata,East
