sale_id,date_key,customer_key,product_key,store_key,quantity,revenue,discount
TXN00001921,20240101,2097,305,31,4,4820.0,0.0
TXN00002327,20240101,1396,222,45,5,10520.0,0.0
TXN00002604,20240101,7391,300,24,3,4773.0,0.0
TXN00002611,20240101,5804,81,39,4,15364.0,0.0
TXN00002632,20240101,4074,35,2,3,10521.0,0.0
TXN00002714,20240101,9835,250,16,2,15922.0,0.0
TXN00002902,20240101,8624,447,35,3,3858.0,0.0
TXN00002911,20240101,6411,492,33,1,4073.0,0.0
TXN00003217,20240101,9968,281,16,3,12369.0,0.0
TXN00003626,20240101,7123,333,34,3,10722.0,0.0
TXN00004129,20240101,4637,395,33,4,1860.0,0.0
TXN00004151,20240101,6543,22,5,5,5830.0,0.0
TXN00004411,20240101,378,178,45,4,4060.0,0.0
TXN00004725,20240101,9635,290,25,4,104540.0,0.0
TXN00004776,20240101,6091,229,48,1,3503.0,0.0
TXN00004978,20240101,6237,25,8,3,27297.0,0.0
TXN00006122,20240101,2116,308,3,1,14868.0,0.0
TXN00006737,20240101,2126,16,12,3,255.0,0.0
TXN00006754,20240101,5004,145,50,5,15935.0,0.0
TXN00006897,20240101,8737,23,9,3,1014.0,0.0
TXN00007007,20240101,5130,383,42,4,5996.0,0.0
TXN00007263,20240101,5119,67,38,5,55905.0,0.0
TXN00007582,20240101,5972,160,48,5,22855.0,0.0
TXN00007732,20240101,8980,123,36,5,22565.0,0.0
TXN00007795,20240101,973,58,16,2,2436.0,0.0
TXN00007914,20240101,431,88,2,5,7325.0,0.0
TXN00008125,20240101,1054,80,3,1,4675.0,0.0
TXN00008406,20240101,6350,269,32,1,251.0,0.0
TXN00008480,20240101,527,94,50,5,2800.0,0.0
TXN00008506,20240101,3949,337,37,1,4406.0,0.0
TXN00008873,20240101,9330,3,10,2,16168.0,0.0
TXN00009187,20240101,609,55,26,3,2061.0,0.0
TXN00009438,20240101,2629,378,36,5,8005.0,0.0
TXN00009706,20240101,3984,294,5,4,39324.0,0.0
TXN00009907,20240101,5883,285,14,1,2763.0,0.0
TXN00009933,20240101,2504,199,18,1,1265.0,0.0
TXN00010047,20240101,3481,282,3,4,130656.0,0.0
TXN00010364,20240101,8933,164,15,2,1918.0,0.0
TXN00010666,20240101,2350,487,14,3,6870.0,0.0
TXN00011031,20240101,3585,28,25,3,498.0,0.0
TXN00011351,20240101,9948,464,4,3,2223.0,0.0
TXN00011566,20240101,4610,258,4,2,86204.0,0.0
TXN00011883,20240101,5268,229,14,2,7006.0,0.0
TXN00011926,20240101,4562,233,39,4,28776.0,0.0
TXN00011981,20240101,2425,274,18,4,2336.0,0.0
TXN00012527,20240101,666,284,19,1,993.0,0.0
TXN00012814,20240101,9518,400,24,2,2912.0,0.0
TXN00012960,20240101,3976,52,14,3,1602.0,0.0
TXN00013025,20240101,5870,320,13,5,6765.0,0.0
TXN00013085,20240101,2115,351,38,2,3610.0,0.0
TXN00013137,20240101,1836,52,11,3,1602.0,0.0
TXN00013152,20240101,4353,102,33,3,1035.0,0.0
TXN00013293,20240101,9834,364,35,3,4263.0,0.0
TXN00013652,20240101,3408,317,40,5,241935.0,0.0
TXN00014228,20240101,735,144,45,1,4613.0,0.0
TXN00014821,20240101,9508,193,46,5,1240.0,0.0
