shipment_id,date_key,product_key,store_key,delivery_time,on_time_flag
SHP10173,20240102,282,3,1.0,True
SHP18715,20240102,310,31,9.0,False
SHP19284,20240102,490,42,3.0,True
SHP30893,20240102,238,33,2.0,True
SHP36278,20240102,95,14,6.0,False
SHP38130,20240102,5,23,10.0,False
SHP40250,20240102,133,23,1.0,True
SHP43316,20240102,106,47,2.0,True
SHP45490,20240102,387,27,3.0,True
SHP48642,20240102,335,47,10.0,False
SHP49405,20240102,208,36,9.0,False
SHP54235,20240102,388,9,9.0,False
SHP56329,20240102,52,5,2.0,True
SHP56978,20240102,25,26,3.0,True
SHP57319,20240102,183,50,6.0,False
SHP61694,20240102,441,1,4.0,True
SHP70730,20240102,16,12,6.0,False
SHP72029,20240102,97,12,8.0,False
SHP73285,20240102,481,31,6.0,False
SHP77782,20240102,38,19,9.0,False
SHP82079,20240102,399,11,3.0,True
SHP86273,20240102,269,26,3.0,True
SHP88510,20240102,128,30,6.0,False
SHP89625,20240102,8,15,7.0,False
SHP89758,20240102,95,50,5.0,True
SHP91459,20240102,285,6,1.0,True
SHP14598,20240103,184,36,2.0,True
SHP25094,20240103,271,1,7.0,False
SHP33810,20240103,313,18,4.0,True
SHP44422,20240103,55,45,5.0,True
SHP56605,20240103,61,28,10.0,False
SHP57390,20240103,36,12,7.0,False
SHP58417,20240103,313,19,2.0,True
SHP64417,20240103,397,45,4.0,True
SHP67535,20240103,33,4,7.0,False
SHP70940,20240103,310,20,4.0,True
SHP77248,20240103,255,46,9.0,False
SHP77267,20240103,278,41,10.0,False
SHP82599,20240103,421,40,1.0,True
SHP91170,20240103,364,31,9.0,False
SHP91408,20240103,113,23,9.0,False
SHP93085,20240103,232,2,9.0,False
SHP94220,20240103,480,7,7.0,False
SHP96220,20240103,230,20,2.0,True
SHP96402,20240103,469,22,7.0,False
SHP15304,20240104,6,50,8.0,False
SHP17249,20240104,280,36,3.0,True
SHP17672,20240104,2,3,10.0,False
SHP25946,20240104,124,28,10.0,False
SHP29421,20240104,342,40,3.0,True
SHP42653,20240104,400,9,3.0,True
SHP46304,20240104,201,31,10.0,False
SHP48947,20240104,112,15,4.0,True
SHP50208,20240104,5,35,8.0,False
SHP60358,20240104,271,40,1.0,True
SHP60667,20240104,83,22,3.0,True
SHP71638,20240104,242,23,5.0,True
SHP74285,20240104,224,47,3.0,True
SHP75922,20240104,187,40,5.0,True
SHP76517,20240104,372,40,6.0,False
SHP76596,20240104,131,9,4.0,True
SHP76758,20240104,337,48,8.0,False
SHP79837,20240104,265,22,6.0,False
SHP82492,20240104,62,7,7.0,False
SHP92746,20240104,412,43,4.0,True
SHP95260,20240104,61,40,6.0,False
SHP95733,20240104,246,27,5.0,True
SHP15809,20240105,358,5,2.0,True
SHP17257,20240105,249,29,8.0,False
SHP18917,20240105,38,17,7.0,False
SHP19970,20240105,307,14,9.0,False
SHP21733,20240105,462,49,2.0,True
SHP32233,20240105,320,40,3.0,True
SHP34762,20240105,365,45,7.0,False
SHP43781,20240105,3,1,7.0,False
SHP43853,20240105,498,35,2.0,True
SHP44260,20240105,83,22,7.0,False
SHP46950,20240105,84,48,7.0,False
SHP51615,20240105,242,14,5.0,True
SHP54733,20240105,228,39,4.0,True
SHP56028,20240105,216,26,5.0,True
SHP56451,20240105,461,47,6.0,False
SHP60023,20240105,413,22,3.0,True
SHP61255,20240105,342,21,3.0,True
SHP65196,20240105,365,33,1.0,True
SHP67722,20240105,258,1,6.0,False
SHP69321,20240105,4,44,6.0,False
SHP70139,20240105,150,37,5.0,True
SHP75227,20240105,6,49,4.0,True
SHP76840,20240105,179,45,7.0,False
SHP84035,20240105,25,29,8.0,False
SHP86042,20240105,157,10,10.0,False
SHP88586,20240105,309,24,1.0,True
SHP91524,20240105,369,25,8.0,False
SHP92455,20240105,78,20,5.0,True
SHP96865,20240105,258,32,3.0,True
SHP97918,20240105,328,4,5.0,True
SHP99263,20240105,71,38,3.0,True
SHP10659,20240106,91,32,8.0,False
SHP13012,20240106,416,21,9.0,False
SHP19671,20240106,23,41,1.0,True
SHP21413,20240106,203,1,10.0,False
SHP21826,20240106,496,44,5.0,True
SHP23815,20240106,304,30,10.0,False
SHP25082,20240106,306,40,4.0,True
SHP32724,20240106,183,33,8.0,False
SHP35782,20240106,34,20,9.0,False
SHP37456,20240106,236,50,7.0,False
