city,region,active_stores,total_revenue,transaction_count,avg_transaction_value
Kolkata,East,8,356865765.0,15804,22580.72418375095
Pune,West,8,347648378.0,15652,22211.115384615383
Delhi,North,7,311136207.0,13923,22346.922861452273
Chennai,South,7,307545395.0,13744,22376.70219732247
Ahmedabad,West,5,218156677.0,9858,22129.912456887807
Hyderabad,South,4,187365536.0,7975,23494.111097178684
Bangalore,South,4,180026461.0,8033,22410.862815884477
Mumbai,West,3,129433593.0,5842,22155.698904484765
Jaipur,North,3,128619936.0,5877,21885.30474732006
Surat,West,1,45572928.0,1962,23227.792048929663
