date,year,month,day,day_type,daily_revenue,transaction_count,avg_transaction_value,total_units_sold
2024-06-30,2024,6,30,Weekend,11456620.0,529,21657.126654064272,1591
2024-06-29,2024,6,29,Weekend,12362157.0,578,21387.814878892732,1746
2024-06-28,2024,6,28,Weekday,9989966.0,436,22912.76605504587,1258
2024-06-27,2024,6,27,Weekday,10408466.0,399,26086.380952380954,1204
2024-06-26,2024,6,26,Weekday,9066687.0,416,21794.920673076922,1243
2024-06-25,2024,6,25,Weekday,10101240.0,408,24757.941176470587,1221
2024-06-24,2024,6,24,Weekday,9206222.0,447,20595.574944071588,1350
2024-06-23,2024,6,23,Weekend,12553367.0,546,22991.51465201465,1671
2024-06-22,2024,6,22,Weekend,12429139.0,538,23102.48884758364,1627
2024-06-21,2024,6,21,Weekday,9055495.0,424,21357.299528301886,1254
2024-06-20,2024,6,20,Weekday,10591915.0,460,23025.902173913044,1373
2024-06-19,2024,6,19,Weekday,11470497.0,428,26800.22663551402,1254
2024-06-18,2024,6,18,Weekday,9477958.0,405,23402.365432098766,1220
2024-06-17,2024,6,17,Weekday,10659341.0,441,24170.84126984127,1347
2024-06-16,2024,6,16,Weekend,13291033.0,586,22680.943686006827,1796
2024-06-15,2024,6,15,Weekend,12415080.0,547,22696.672760511883,1627
2024-06-14,2024,6,14,Weekday,9775584.0,425,23001.374117647058,1256
2024-06-13,2024,6,13,Weekday,10201600.0,413,24701.210653753027,1264
2024-06-12,2024,6,12,Weekday,9209016.0,442,20834.877828054297,1339
2024-06-11,2024,6,11,Weekday,9091684.0,411,22120.885644768856,1275
2024-06-10,2024,6,10,Weekday,9460401.0,430,22000.932558139535,1302
2024-06-09,2024,6,9,Weekend,13708526.0,587,23353.536626916524,1720
2024-06-08,2024,6,8,Weekend,13265485.0,566,23437.252650176677,1737
2024-06-07,2024,6,7,Weekday,9705961.0,429,22624.617715617715,1292
2024-06-06,2024,6,6,Weekday,10124915.0,429,23601.200466200466,1273
2024-06-05,2024,6,5,Weekday,8379697.0,413,20289.82324455206,1234
2024-06-04,2024,6,4,Weekday,9338755.0,430,21718.03488372093,1285
2024-06-03,2024,6,3,Weekday,10690252.0,478,22364.543933054392,1464
2024-06-02,2024,6,2,Weekend,15169222.0,611,24826.877250409165,1806
2024-06-01,2024,6,1,Weekend,11819873.0,545,21687.840366972476,1597
2024-05-31,2024,5,31,Weekday,10044726.0,420,23916.014285714286,1250
2024-05-30,2024,5,30,Weekday,8987143.0,453,19839.167770419426,1377
2024-05-29,2024,5,29,Weekday,9157498.0,427,21446.131147540982,1307
2024-05-28,2024,5,28,Weekday,8035275.0,411,19550.547445255474,1223
2024-05-27,2024,5,27,Weekday,9659234.0,420,22998.17619047619,1247
2024-05-26,2024,5,26,Weekend,12034215.0,568,21186.99823943662,1669
2024-05-25,2024,5,25,Weekend,11435478.0,566,20204.024734982333,1742
2024-05-24,2024,5,24,Weekday,10905777.0,471,23154.51592356688,1423
2024-05-23,2024,5,23,Weekday,10658478.0,438,24334.424657534248,1303
2024-05-22,2024,5,22,Weekday,10651854.0,460,23156.204347826086,1351
2024-05-21,2024,5,21,Weekday,8969497.0,415,21613.24578313253,1246
2024-05-20,2024,5,20,Weekday,9275297.0,421,22031.58432304038,1272
2024-05-19,2024,5,19,Weekend,12712666.0,580,21918.389655172414,1746
2024-05-18,2024,5,18,Weekend,13034571.0,560,23276.019642857143,1705
2024-05-17,2024,5,17,Weekday,9494393.0,433,21927.004618937644,1296
2024-05-16,2024,5,16,Weekday,9785535.0,452,21649.41371681416,1338
2024-05-15,2024,5,15,Weekday,8032800.0,440,18256.363636363636,1295
2024-05-14,2024,5,14,Weekday,10734395.0,449,23907.338530066816,1307
2024-05-13,2024,5,13,Weekday,9387752.0,423,22193.267139479907,1259
2024-05-12,2024,5,12,Weekend,11311597.0,563,20091.646536412078,1699
2024-05-11,2024,5,11,Weekend,14544351.0,579,25119.77720207254,1749
2024-05-10,2024,5,10,Weekday,10614122.0,438,24233.155251141554,1362
2024-05-09,2024,5,9,Weekday,10150266.0,429,23660.293706293705,1271
2024-05-08,2024,5,8,Weekday,8028654.0,399,20121.93984962406,1200
2024-05-07,2024,5,7,Weekday,8737713.0,408,21415.96323529412,1191
2024-05-06,2024,5,6,Weekday,8682107.0,437,19867.521739130436,1224
2024-05-05,2024,5,5,Weekend,13123270.0,556,23603.0035971223,1690
2024-05-04,2024,5,4,Weekend,12996835.0,567,22922.10758377425,1719
2024-05-03,2024,5,3,Weekday,10311395.0,444,23223.86261261261,1306
2024-05-02,2024,5,2,Weekday,9762933.0,439,22239.027334851937,1318
2024-05-01,2024,5,1,Weekday,9277751.0,414,22410.02657004831,1196
2024-04-30,2024,4,30,Weekday,10008786.0,436,22955.93119266055,1337
2024-04-29,2024,4,29,Weekday,8850691.0,414,21378.4806763285,1203
2024-04-28,2024,4,28,Weekend,11743777.0,597,19671.31825795645,1807
2024-04-27,2024,4,27,Weekend,12855217.0,572,22474.155594405594,1703
2024-04-26,2024,4,26,Weekday,10329870.0,419,24653.6276849642,1226
2024-04-25,2024,4,25,Weekday,8842399.0,429,20611.65268065268,1289
2024-04-24,2024,4,24,Weekday,9878373.0,434,22761.228110599077,1262
2024-04-23,2024,4,23,Weekday,8176251.0,419,19513.72553699284,1247
2024-04-22,2024,4,22,Weekday,11504842.0,458,25119.7423580786,1378
2024-04-21,2024,4,21,Weekend,14252309.0,587,24279.91311754685,1806
2024-04-20,2024,4,20,Weekend,12452256.0,579,21506.487046632123,1706
2024-04-19,2024,4,19,Weekday,9864294.0,437,22572.75514874142,1262
2024-04-18,2024,4,18,Weekday,11724695.0,454,25825.319383259914,1360
2024-04-17,2024,4,17,Weekday,10386820.0,455,22828.175824175825,1409
2024-04-16,2024,4,16,Weekday,10059789.0,422,23838.362559241705,1269
2024-04-15,2024,4,15,Weekday,18144510.0,845,21472.792899408283,2540
2024-04-14,2024,4,14,Weekend,25484801.0,1142,22315.93782837128,3428
2024-04-13,2024,4,13,Weekend,25874840.0,1180,21927.830508474577,3514
2024-04-12,2024,4,12,Weekday,17152146.0,840,20419.22142857143,2481
2024-04-11,2024,4,11,Weekday,18815570.0,861,21853.15911730546,2580
2024-04-10,2024,4,10,Weekday,18827448.0,853,22072.037514654163,2573
2024-04-09,2024,4,9,Weekday,18779503.0,860,21836.63139534884,2573
2024-04-08,2024,4,8,Weekday,18472955.0,871,21208.90355912744,2589
2024-04-07,2024,4,7,Weekend,24596426.0,1138,21613.731107205625,3412
2024-04-06,2024,4,6,Weekend,26738060.0,1154,23169.896013864818,3466
2024-04-05,2024,4,5,Weekday,18839201.0,877,21481.415051311287,2605
2024-04-04,2024,4,4,Weekday,10845365.0,411,26387.749391727495,1255
2024-04-03,2024,4,3,Weekday,8149019.0,436,18690.410550458717,1323
2024-04-02,2024,4,2,Weekday,8894743.0,427,20830.779859484777,1265
2024-04-01,2024,4,1,Weekday,9359982.0,442,21176.429864253394,1301
2024-03-31,2024,3,31,Weekend,13096317.0,578,22657.987889273358,1720
2024-03-30,2024,3,30,Weekend,35318359.0,1451,24340.70227429359,4376
2024-03-29,2024,3,29,Weekday,22523331.0,1049,21471.240228789324,3169
2024-03-28,2024,3,28,Weekday,24508889.0,1068,22948.397940074905,3291
2024-03-27,2024,3,27,Weekday,24040010.0,1068,22509.37265917603,3176
2024-03-26,2024,3,26,Weekday,25727857.0,1113,23115.774483378256,3378
2024-03-25,2024,3,25,Weekday,21620827.0,1033,20930.13262342691,3049
2024-03-24,2024,3,24,Weekend,32384071.0,1423,22757.60435699227,4207
2024-03-23,2024,3,23,Weekend,35816219.0,1440,24872.374305555557,4383
2024-03-22,2024,3,22,Weekday,22629142.0,1064,21267.99060150376,3139
2024-03-21,2024,3,21,Weekday,23617096.0,1049,22513.914204003813,3138
2024-03-20,2024,3,20,Weekday,21476224.0,1026,20931.992202729045,3098
2024-03-19,2024,3,19,Weekday,9111589.0,422,21591.443127962084,1291
2024-03-18,2024,3,18,Weekday,8232642.0,380,21664.84736842105,1131
2024-03-17,2024,3,17,Weekend,10489484.0,572,18338.25874125874,1723
2024-03-16,2024,3,16,Weekend,12707582.0,559,22732.704830053666,1708
2024-03-15,2024,3,15,Weekday,10384606.0,422,24608.071090047393,1306
2024-03-14,2024,3,14,Weekday,10690966.0,429,24920.666666666668,1279
2024-03-13,2024,3,13,Weekday,9987603.0,436,22907.346330275228,1302
2024-03-12,2024,3,12,Weekday,9491706.0,456,20815.144736842107,1371
2024-03-11,2024,3,11,Weekday,9801025.0,459,21352.995642701524,1344
2024-03-10,2024,3,10,Weekend,15045811.0,589,25544.67062818336,1764
2024-03-09,2024,3,9,Weekend,13645268.0,601,22704.272878535772,1712
2024-03-08,2024,3,8,Weekday,8980746.0,455,19737.903296703298,1306
2024-03-07,2024,3,7,Weekday,9720639.0,439,22142.685649202733,1313
2024-03-06,2024,3,6,Weekday,10348107.0,441,23465.095238095237,1310
2024-03-05,2024,3,5,Weekday,8043726.0,411,19571.109489051094,1172
2024-03-04,2024,3,4,Weekday,9714225.0,401,24225.0,1197
2024-03-03,2024,3,3,Weekend,13638064.0,572,23842.76923076923,1695
2024-03-02,2024,3,2,Weekend,12071316.0,575,20993.59304347826,1703
2024-03-01,2024,3,1,Weekday,9427587.0,455,20719.97142857143,1390
2024-02-29,2024,2,29,Weekday,9306854.0,419,22212.062052505968,1287
2024-02-28,2024,2,28,Weekday,10033474.0,424,23663.853773584906,1301
2024-02-27,2024,2,27,Weekday,9113646.0,432,21096.402777777777,1281
2024-02-26,2024,2,26,Weekday,8810434.0,407,21647.257985257984,1212
2024-02-25,2024,2,25,Weekend,13577223.0,560,24245.04107142857,1703
2024-02-24,2024,2,24,Weekend,14385532.0,581,24759.951807228917,1782
2024-02-23,2024,2,23,Weekday,9717198.0,445,21836.4,1325
2024-02-22,2024,2,22,Weekday,10501510.0,413,25427.384987893463,1231
2024-02-21,2024,2,21,Weekday,9914599.0,428,23164.95093457944,1233
2024-02-20,2024,2,20,Weekday,9576105.0,457,20954.277899343546,1357
2024-02-19,2024,2,19,Weekday,9177060.0,437,21000.137299771166,1314
2024-02-18,2024,2,18,Weekend,13115114.0,561,23378.09982174688,1641
2024-02-17,2024,2,17,Weekend,11487933.0,547,21001.705667276052,1631
2024-02-16,2024,2,16,Weekday,8797912.0,436,20178.697247706423,1319
2024-02-15,2024,2,15,Weekday,10954635.0,481,22774.70893970894,1468
2024-02-14,2024,2,14,Weekday,9239485.0,451,20486.662971175167,1352
2024-02-13,2024,2,13,Weekday,9911583.0,396,25029.25,1178
2024-02-12,2024,2,12,Weekday,10124341.0,445,22751.32808988764,1381
2024-02-11,2024,2,11,Weekend,11887806.0,531,22387.581920903955,1659
2024-02-10,2024,2,10,Weekend,12481981.0,569,21936.69771528998,1734
2024-02-09,2024,2,9,Weekday,10727378.0,423,25360.231678486998,1316
2024-02-08,2024,2,8,Weekday,10129975.0,457,22166.24726477024,1406
2024-02-07,2024,2,7,Weekday,9790370.0,420,23310.404761904763,1244
2024-02-06,2024,2,6,Weekday,8657086.0,422,20514.421800947868,1206
2024-02-05,2024,2,5,Weekday,10725189.0,490,21888.14081632653,1483
2024-02-04,2024,2,4,Weekend,12055166.0,526,22918.566539923955,1680
2024-02-03,2024,2,3,Weekend,12037527.0,584,20612.203767123287,1699
2024-02-02,2024,2,2,Weekday,9595307.0,427,22471.444964871196,1297
2024-02-01,2024,2,1,Weekday,11967877.0,471,25409.505307855627,1443
2024-01-31,2024,1,31,Weekday,9391006.0,419,22412.90214797136,1225
2024-01-30,2024,1,30,Weekday,9375922.0,439,21357.453302961276,1352
2024-01-29,2024,1,29,Weekday,7995849.0,379,21097.22691292876,1104
2024-01-28,2024,1,28,Weekend,13399792.0,557,24057.077199281866,1643
2024-01-27,2024,1,27,Weekend,13128963.0,608,21593.689144736843,1836
2024-01-26,2024,1,26,Weekday,8916637.0,416,21434.22355769231,1214
