product_id,product_name,category,total_sold,days_sold,avg_daily_sales,movement_category
P0256,Personal Care Item 256,Personal Care,546,91,6.0,Medium Moving
P0073,Personal Care Item 73,Personal Care,688,118,5.830508474576271,Medium Moving
P0013,Home & Kitchen Item 13,Home & Kitchen,681,117,5.82051282051282,Medium Moving
P0315,Personal Care Item 315,Personal Care,721,124,5.814516129032258,Medium Moving
P0262,Home & Kitchen Item 262,Home & Kitchen,655,113,5.79646017699115,Medium Moving
P0278,Apparel Item 278,Apparel,676,117,5.777777777777778,Medium Moving
P0169,Grocery Item 169,Grocery,624,108,5.777777777777778,Medium Moving
P0452,Apparel Item 452,Apparel,727,126,5.76984126984127,Medium Moving
P0363,Personal Care Item 363,Personal Care,672,117,5.743589743589744,Medium Moving
P0178,Apparel Item 178,Apparel,699,122,5.729508196721311,Medium Moving
P0404,Personal Care Item 404,Personal Care,637,112,5.6875,Medium Moving
P0109,Electronics Item 109,Electronics,682,120,5.683333333333334,Medium Moving
P0138,Grocery Item 138,Grocery,699,123,5.682926829268292,Medium Moving
P0215,Home & Kitchen Item 215,Home & Kitchen,653,115,5.678260869565217,Medium Moving
P0211,Personal Care Item 211,Personal Care,657,116,5.663793103448276,Medium Moving
P0458,Apparel Item 458,Apparel,645,114,5.657894736842105,Medium Moving
P0448,Personal Care Item 448,Personal Care,655,116,5.646551724137931,Medium Moving
P0393,Personal Care Item 393,Personal Care,621,110,5.6454545454545455,Medium Moving
P0148,Apparel Item 148,Apparel,703,125,5.624,Medium Moving
P0089,Personal Care Item 89,Personal Care,607,108,5.62037037037037,Medium Moving
P0343,Apparel Item 343,Apparel,584,104,5.615384615384615,Medium Moving
P0268,Personal Care Item 268,Personal Care,651,116,5.612068965517241,Medium Moving
P0095,Home & Kitchen Item 95,Home & Kitchen,679,121,5.6115702479338845,Medium Moving
P0432,Personal Care Item 432,Personal Care,672,120,5.6,Medium Moving
P0440,Home & Kitchen Item 440,Home & Kitchen,655,117,5.598290598290598,Medium Moving
P0407,Apparel Item 407,Apparel,699,125,5.592,Medium Moving
P0220,Apparel Item 220,Apparel,587,105,5.59047619047619,Medium Moving
P0057,Personal Care Item 57,Personal Care,670,120,5.583333333333333,Medium Moving
P0365,Grocery Item 365,Grocery,652,117,5.572649572649572,Medium Moving
P0355,Apparel Item 355,Apparel,596,107,5.570093457943925,Medium Moving
P0429,Personal Care Item 429,Personal Care,629,113,5.566371681415929,Medium Moving
P0454,Grocery Item 454,Grocery,640,115,5.565217391304348,Medium Moving
P0160,Personal Care Item 160,Personal Care,662,119,5.563025210084033,Medium Moving
P0007,Home & Kitchen Item 7,Home & Kitchen,673,121,5.56198347107438,Medium Moving
P0018,Electronics Item 18,Electronics,634,114,5.56140350877193,Medium Moving
P0390,Personal Care Item 390,Personal Care,634,114,5.56140350877193,Medium Moving
P0216,Electronics Item 216,Electronics,633,114,5.552631578947368,Medium Moving
P0467,Apparel Item 467,Apparel,649,117,5.547008547008547,Medium Moving
P0352,Home & Kitchen Item 352,Home & Kitchen,610,110,5.545454545454546,Medium Moving
P0493,Home & Kitchen Item 493,Home & Kitchen,632,114,5.543859649122807,Medium Moving
P0208,Grocery Item 208,Grocery,654,118,5.5423728813559325,Medium Moving
P0490,Personal Care Item 490,Personal Care,676,122,5.540983606557377,Medium Moving
P0159,Apparel Item 159,Apparel,626,113,5.539823008849558,Medium Moving
P0030,Home & Kitchen Item 30,Home & Kitchen,650,118,5.508474576271187,Medium Moving
P0163,Personal Care Item 163,Personal Care,661,120,5.508333333333334,Medium Moving
P0479,Apparel Item 479,Apparel,633,115,5.504347826086956,Medium Moving
P0231,Electronics Item 231,Electronics,644,117,5.504273504273504,Medium Moving
P0288,Electronics Item 288,Electronics,660,120,5.5,Medium Moving
P0114,Apparel Item 114,Apparel,605,110,5.5,Medium Moving
P0489,Electronics Item 489,Electronics,643,117,5.495726495726496,Medium Moving
P0092,Personal Care Item 92,Personal Care,621,113,5.495575221238938,Medium Moving
P0070,Grocery Item 70,Grocery,582,106,5.490566037735849,Medium Moving
P0339,Personal Care Item 339,Personal Care,592,108,5.481481481481482,Medium Moving
P0061,Home & Kitchen Item 61,Home & Kitchen,646,118,5.47457627118644,Medium Moving
P0003,Electronics Item 3,Electronics,613,112,5.473214285714286,Medium Moving
P0294,Grocery Item 294,Grocery,585,107,5.4672897196261685,Medium Moving
P0144,Home & Kitchen Item 144,Home & Kitchen,645,118,5.466101694915254,Medium Moving
P0347,Personal Care Item 347,Personal Care,623,114,5.464912280701754,Medium Moving
P0261,Personal Care Item 261,Personal Care,683,125,5.464,Medium Moving
P0132,Apparel Item 132,Apparel,639,117,5.461538461538462,Medium Moving
P0480,Home & Kitchen Item 480,Home & Kitchen,621,114,5.447368421052632,Medium Moving
P0184,Apparel Item 184,Apparel,571,105,5.438095238095238,Medium Moving
P0219,Apparel Item 219,Apparel,609,112,5.4375,Medium Moving
P0074,Apparel Item 74,Apparel,636,117,5.435897435897436,Medium Moving
P0149,Grocery Item 149,Grocery,679,125,5.432,Medium Moving
P0342,Personal Care Item 342,Personal Care,646,119,5.428571428571429,Medium Moving
P0134,Home & Kitchen Item 134,Home & Kitchen,673,124,5.42741935483871,Medium Moving
P0115,Electronics Item 115,Electronics,597,110,5.427272727272728,Medium Moving
P0345,Electronics Item 345,Electronics,553,102,5.421568627450981,Medium Moving
P0110,Apparel Item 110,Apparel,634,117,5.418803418803419,Medium Moving
P0471,Apparel Item 471,Apparel,623,115,5.417391304347826,Medium Moving
P0224,Home & Kitchen Item 224,Home & Kitchen,650,120,5.416666666666667,Medium Moving
P0269,Apparel Item 269,Apparel,666,123,5.414634146341464,Medium Moving
P0161,Apparel Item 161,Apparel,617,114,5.412280701754386,Medium Moving
P0295,Personal Care Item 295,Personal Care,644,119,5.411764705882353,Medium Moving
P0246,Home & Kitchen Item 246,Home & Kitchen,579,107,5.411214953271028,Medium Moving
P0260,Personal Care Item 260,Personal Care,654,121,5.404958677685951,Medium Moving
P0322,Personal Care Item 322,Personal Care,616,114,5.4035087719298245,Medium Moving
P0441,Personal Care Item 441,Personal Care,605,112,5.401785714285714,Medium Moving
P0035,Grocery Item 35,Grocery,605,112,5.401785714285714,Medium Moving
P0449,Personal Care Item 449,Personal Care,713,132,5.401515151515151,Medium Moving
P0194,Electronics Item 194,Electronics,621,115,5.4,Medium Moving
P0212,Electronics Item 212,Electronics,610,113,5.398230088495575,Medium Moving
P0118,Grocery Item 118,Grocery,615,114,5.394736842105263,Medium Moving
P0128,Electronics Item 128,Electronics,647,120,5.391666666666667,Medium Moving
P0037,Personal Care Item 37,Personal Care,636,118,5.389830508474576,Medium Moving
P0028,Grocery Item 28,Grocery,641,119,5.38655462184874,Medium Moving
P0488,Grocery Item 488,Grocery,619,115,5.3826086956521735,Medium Moving
P0446,Grocery Item 446,Grocery,662,123,5.382113821138211,Medium Moving
P0176,Electronics Item 176,Electronics,608,113,5.380530973451328,Medium Moving
P0251,Grocery Item 251,Grocery,651,121,5.380165289256198,Medium Moving
P0421,Personal Care Item 421,Personal Care,640,119,5.378151260504202,Medium Moving
P0356,Electronics Item 356,Electronics,613,114,5.37719298245614,Medium Moving
P0408,Electronics Item 408,Electronics,645,120,5.375,Medium Moving
P0364,Grocery Item 364,Grocery,661,123,5.373983739837398,Medium Moving
P0218,Grocery Item 218,Grocery,575,107,5.373831775700935,Medium Moving
