product_id,product_name,category,brand,total_quantity_sold,total_revenue,transaction_count
P0109,Electronics Item 109,Electronics,,682,32544358.0,223
P0287,Electronics Item 287,Electronics,,633,30746709.0,219
P0105,Electronics Item 105,Electronics,,605,30147755.0,212
P0108,Electronics Item 108,Electronics,,690,29431950.0,222
P0188,Electronics Item 188,Electronics,,584,28982168.0,196
P0409,Electronics Item 409,Electronics,,648,28714176.0,212
P0341,Electronics Item 341,Electronics,,625,28700000.0,212
P0333,Electronics Item 333,Electronics,,672,27693792.0,227
P0194,Electronics Item 194,Electronics,,621,27014742.0,202
P0081,Electronics Item 81,Electronics,,541,26863896.0,186
P0316,Electronics Item 316,Electronics,,554,26806398.0,198
P0257,Electronics Item 257,Electronics,,610,26292220.0,203
P0334,Electronics Item 334,Electronics,,567,26059887.0,188
P0455,Electronics Item 455,Electronics,,595,25846800.0,202
P0312,Electronics Item 312,Electronics,,648,24776928.0,218
P0136,Electronics Item 136,Electronics,,567,24627645.0,199
P0155,Electronics Item 155,Electronics,,567,23909823.0,202
P0056,Electronics Item 56,Electronics,,579,23724525.0,194
P0003,Electronics Item 3,Electronics,,613,23650153.0,185
P0014,Electronics Item 14,Electronics,,556,23583852.0,194
P0298,Electronics Item 298,Electronics,,617,23465127.0,211
P0128,Electronics Item 128,Electronics,,647,22686408.0,211
P0069,Electronics Item 69,Electronics,,615,21986865.0,201
P0450,Electronics Item 450,Electronics,,545,21984210.0,189
P0279,Electronics Item 279,Electronics,,562,21886528.0,190
P0038,Electronics Item 38,Electronics,,576,21689280.0,190
P0263,Electronics Item 263,Electronics,,555,21613920.0,194
P0206,Electronics Item 206,Electronics,,579,21471057.0,192
P0068,Electronics Item 68,Electronics,,591,21429069.0,199
P0489,Electronics Item 489,Electronics,,643,21325738.0,212
P0478,Electronics Item 478,Electronics,,537,20994015.0,181
P0209,Electronics Item 209,Electronics,,539,20487390.0,178
P0276,Electronics Item 276,Electronics,,617,20380127.0,201
P0212,Electronics Item 212,Electronics,,610,20123900.0,206
P0330,Electronics Item 330,Electronics,,689,19980311.0,229
P0077,Electronics Item 77,Electronics,,555,19881210.0,189
P0385,Electronics Item 385,Electronics,,551,19720290.0,180
P0356,Electronics Item 356,Electronics,,613,19122535.0,197
P0111,Electronics Item 111,Electronics,,592,18996688.0,200
P0406,Electronics Item 406,Electronics,,596,18397328.0,200
P0240,Electronics Item 240,Electronics,,549,18382167.0,193
P0482,Electronics Item 482,Electronics,,605,18340575.0,191
P0281,Electronics Item 281,Electronics,,556,18161184.0,193
P0115,Electronics Item 115,Electronics,,597,17412102.0,191
P0165,Electronics Item 165,Electronics,,472,17239328.0,165
P0310,Electronics Item 310,Electronics,,662,16937270.0,221
P0176,Electronics Item 176,Electronics,,608,16433632.0,193
P0018,Electronics Item 18,Electronics,,634,16264636.0,204
P0046,Electronics Item 46,Electronics,,565,16248270.0,196
P0470,Electronics Item 470,Electronics,,595,16134615.0,193
P0173,Electronics Item 173,Electronics,,531,15875838.0,184
P0469,Electronics Item 469,Electronics,,540,15681600.0,189
P0112,Electronics Item 112,Electronics,,565,15464615.0,198
P0032,Electronics Item 32,Electronics,,626,15445924.0,203
P0484,Electronics Item 484,Electronics,,589,15311644.0,203
P0289,Electronics Item 289,Electronics,,584,15262840.0,194
P0466,Electronics Item 466,Electronics,,616,14946624.0,206
P0400,Electronics Item 400,Electronics,,608,14649760.0,193
P0131,Electronics Item 131,Electronics,,600,14293200.0,202
P0193,Electronics Item 193,Electronics,,639,13934673.0,215
P0167,Electronics Item 167,Electronics,,543,13616268.0,176
P0344,Electronics Item 344,Electronics,,595,13417845.0,198
P0465,Electronics Item 465,Electronics,,613,13314973.0,210
P0201,Electronics Item 201,Electronics,,606,12970824.0,214
P0145,Electronics Item 145,Electronics,,636,12950868.0,200
P0366,Electronics Item 366,Electronics,,613,12815378.0,205
P0349,Electronics Item 349,Electronics,,568,12577792.0,193
P0156,Electronics Item 156,Electronics,,604,12568032.0,202
P0259,Electronics Item 259,Electronics,,610,12234160.0,205
P0152,Electronics Item 152,Electronics,,524,11954012.0,179
P0477,Electronics Item 477,Electronics,,674,11892056.0,217
P0434,Electronics Item 434,Electronics,,562,11810992.0,196
P0461,Electronics Item 461,Electronics,,556,11529772.0,177
P0185,Electronics Item 185,Electronics,,607,11188224.0,203
P0291,Electronics Item 291,Electronics,,616,10767064.0,203
P0103,Electronics Item 103,Electronics,,525,10567725.0,181
P0379,Electronics Item 379,Electronics,,588,10130064.0,190
P0231,Electronics Item 231,Electronics,,644,9933056.0,212
P0233,Electronics Item 233,Electronics,,600,9738600.0,201
P0307,Electronics Item 307,Electronics,,631,9381708.0,217
P0050,Electronics Item 50,Electronics,,533,9043944.0,170
P0237,Electronics Item 237,Electronics,,589,9025836.0,193
P0475,Electronics Item 475,Electronics,,620,8332800.0,221
P0258,Electronics Item 258,Electronics,,614,8171112.0,203
P0097,Electronics Item 97,Electronics,,634,7931974.0,223
P0065,Electronics Item 65,Electronics,,549,7670079.0,200
P0216,Electronics Item 216,Electronics,,633,7209870.0,206
P0345,Electronics Item 345,Electronics,,553,7201166.0,177
P0227,Electronics Item 227,Electronics,,565,7189625.0,189
P0066,Electronics Item 66,Electronics,,637,7122297.0,212
P0447,Electronics Item 447,Electronics,,542,7085024.0,196
P0408,Electronics Item 408,Electronics,,645,7031790.0,210
P0182,Electronics Item 182,Electronics,,592,6963104.0,198
P0031,Electronics Item 31,Electronics,,555,6651120.0,184
P0498,Electronics Item 498,Electronics,,526,6622340.0,185
P0047,Electronics Item 47,Electronics,,566,6359576.0,180
P0293,Home & Kitchen Item 293,Home & Kitchen,,626,6154206.0,207
P0410,Home & Kitchen Item 410,Home & Kitchen,,616,5926536.0,199
P0024,Home & Kitchen Item 24,Home & Kitchen,,650,5914350.0,208
P0084,Home & Kitchen Item 84,Home & Kitchen,,580,5783180.0,189
P0436,Home & Kitchen Item 436,Home & Kitchen,,622,5690056.0,202
P0493,Home & Kitchen Item 493,Home & Kitchen,,632,5656400.0,198
P0126,Home & Kitchen Item 126,Home & Kitchen,,652,5603940.0,224
P0352,Home & Kitchen Item 352,Home & Kitchen,,610,5591260.0,197
P0420,Electronics Item 420,Electronics,,529,5552384.0,181
P0135,Home & Kitchen Item 135,Home & Kitchen,,566,5476616.0,191
P0117,Home & Kitchen Item 117,Home & Kitchen,,576,5472576.0,187
P0313,Home & Kitchen Item 313,Home & Kitchen,,631,5461936.0,212
P0425,Home & Kitchen Item 425,Home & Kitchen,,558,5352336.0,187
P0306,Home & Kitchen Item 306,Home & Kitchen,,556,5313136.0,198
P0311,Home & Kitchen Item 311,Home & Kitchen,,607,5269974.0,208
P0445,Electronics Item 445,Electronics,,523,5228431.0,186
P0424,Home & Kitchen Item 424,Home & Kitchen,,537,4942011.0,185
P0480,Home & Kitchen Item 480,Home & Kitchen,,621,4668678.0,206
P0249,Home & Kitchen Item 249,Home & Kitchen,,584,4649224.0,201
P0002,Home & Kitchen Item 2,Home & Kitchen,,573,4632132.0,192
P0288,Electronics Item 288,Electronics,,660,4612080.0,206
P0472,Home & Kitchen Item 472,Home & Kitchen,,565,4532995.0,194
P0141,Home & Kitchen Item 141,Home & Kitchen,,607,4491193.0,198
P0091,Home & Kitchen Item 91,Home & Kitchen,,569,4405198.0,191
P0324,Home & Kitchen Item 324,Home & Kitchen,,606,4355928.0,208
P0012,Electronics Item 12,Electronics,,589,4349176.0,198
P0186,Home & Kitchen Item 186,Home & Kitchen,,558,4327848.0,193
P0137,Home & Kitchen Item 137,Home & Kitchen,,630,4220370.0,213
P0232,Home & Kitchen Item 232,Home & Kitchen,,581,4179714.0,184
P0428,Electronics Item 428,Electronics,,591,4093266.0,200
P0146,Home & Kitchen Item 146,Home & Kitchen,,554,4044200.0,187
P0435,Home & Kitchen Item 435,Home & Kitchen,,622,4023718.0,202
P0314,Electronics Item 314,Electronics,,506,3993858.0,171
P0030,Home & Kitchen Item 30,Home & Kitchen,,650,3774550.0,204
P0417,Home & Kitchen Item 417,Home & Kitchen,,571,3592732.0,193
P0041,Electronics Item 41,Electronics,,535,3591455.0,181
P0095,Home & Kitchen Item 95,Home & Kitchen,,679,3515183.0,207
P0305,Home & Kitchen Item 305,Home & Kitchen,,613,3497165.0,204
P0386,Home & Kitchen Item 386,Home & Kitchen,,577,3485657.0,192
P0374,Home & Kitchen Item 374,Home & Kitchen,,600,3466200.0,197
P0286,Electronics Item 286,Electronics,,598,3441490.0,202
P0178,Apparel Item 178,Apparel,,699,3398538.0,236
P0422,Home & Kitchen Item 422,Home & Kitchen,,534,3398376.0,178
P0010,Home & Kitchen Item 10,Home & Kitchen,,537,3371823.0,185
P0269,Apparel Item 269,Apparel,,666,3273390.0,227
P0123,Home & Kitchen Item 123,Home & Kitchen,,585,3209895.0,201
P0426,Electronics Item 426,Electronics,,551,3140149.0,188
P0380,Home & Kitchen Item 380,Home & Kitchen,,652,3098956.0,214
P0467,Apparel Item 467,Apparel,,649,3087293.0,214
P0346,Home & Kitchen Item 346,Home & Kitchen,,590,3033780.0,196
P0387,Home & Kitchen Item 387,Home & Kitchen,,542,3026528.0,197
P0044,Apparel Item 44,Apparel,,619,2971200.0,207
P0462,Home & Kitchen Item 462,Home & Kitchen,,529,2912145.0,177
P0168,Home & Kitchen Item 168,Home & Kitchen,,567,2900205.0,190
P0362,Apparel Item 362,Apparel,,606,2892438.0,206
P0158,Apparel Item 158,Apparel,,596,2885236.0,198
