product_id,product_name,category,base_price,cost_price
P0000,Grocery Item 0,Grocery,111,77
P0001,Grocery Item 1,Grocery,1797,1257
P0002,Home & Kitchen Item 2,Home & Kitchen,8084,5658
P0003,Electronics Item 3,Electronics,38581,27006
P0004,Home & Kitchen Item 4,Home & Kitchen,4479,3135
P0005,Apparel Item 5,Apparel,2057,1439
P0006,Personal Care Item 6,Personal Care,1405,983
P0007,Home & Kitchen Item 7,Home & Kitchen,2096,1467
P0008,Apparel Item 8,Apparel,4549,3184
P0009,Personal Care Item 9,Personal Care,1037,725
P0010,Home & Kitchen Item 10,Home & Kitchen,6279,4395
P0011,Grocery Item 11,Grocery,457,319
P0012,Electronics Item 12,Electronics,7384,5168
P0013,Home & Kitchen Item 13,Home & Kitchen,4081,2856
P0014,Electronics Item 14,Electronics,42417,29691
P0015,Grocery Item 15,Grocery,85,59
P0016,Grocery Item 16,Grocery,1378,964
P0017,Grocery Item 17,Grocery,901,630
P0018,Electronics Item 18,Electronics,25654,17957
P0019,Home & Kitchen Item 19,Home & Kitchen,2396,1677
P0020,Apparel Item 20,Apparel,1286,900
P0021,Personal Care Item 21,Personal Care,1166,816
P0022,Personal Care Item 22,Personal Care,338,236
P0023,Personal Care Item 23,Personal Care,378,264
P0024,Home & Kitchen Item 24,Home & Kitchen,9099,6369
P0025,Personal Care Item 25,Personal Care,1229,860
P0026,Grocery Item 26,Grocery,295,206
P0027,Personal Care Item 27,Personal Care,166,116
P0028,Grocery Item 28,Grocery,553,387
P0029,Grocery Item 29,Grocery,1149,804
P0030,Home & Kitchen Item 30,Home & Kitchen,5807,4064
P0031,Electronics Item 31,Electronics,11984,8388
P0032,Electronics Item 32,Electronics,24674,17271
P0033,Apparel Item 33,Apparel,2615,1830
P0034,Home & Kitchen Item 34,Home & Kitchen,3507,2454
P0035,Grocery Item 35,Grocery,746,522
P0036,Home & Kitchen Item 36,Home & Kitchen,2218,1552
P0037,Personal Care Item 37,Personal Care,845,591
P0038,Electronics Item 38,Electronics,37655,26358
P0039,Grocery Item 39,Grocery,1562,1093
P0040,Grocery Item 40,Grocery,883,618
P0041,Electronics Item 41,Electronics,6713,4699
P0042,Grocery Item 42,Grocery,721,504
P0043,Apparel Item 43,Apparel,1262,883
P0044,Apparel Item 44,Apparel,4800,3360
P0045,Personal Care Item 45,Personal Care,1327,928
P0046,Electronics Item 46,Electronics,28758,20130
P0047,Electronics Item 47,Electronics,11236,7865
P0048,Grocery Item 48,Grocery,1622,1135
P0049,Grocery Item 49,Grocery,701,490
P0050,Electronics Item 50,Electronics,16968,11877
P0051,Personal Care Item 51,Personal Care,534,373
P0052,Personal Care Item 52,Personal Care,261,182
P0053,Apparel Item 53,Apparel,902,631
P0054,Grocery Item 54,Grocery,687,480
P0055,Personal Care Item 55,Personal Care,1208,845
P0056,Electronics Item 56,Electronics,40975,28682
P0057,Personal Care Item 57,Personal Care,1218,852
P0058,Grocery Item 58,Grocery,1906,1334
P0059,Personal Care Item 59,Personal Care,1447,1012
P0060,Grocery Item 60,Grocery,255,178
P0061,Home & Kitchen Item 61,Home & Kitchen,1667,1166
P0062,Grocery Item 62,Grocery,1931,1351
P0063,Home & Kitchen Item 63,Home & Kitchen,2523,1766
P0064,Grocery Item 64,Grocery,601,420
P0065,Electronics Item 65,Electronics,13971,9779
P0066,Electronics Item 66,Electronics,11181,7826
P0067,Personal Care Item 67,Personal Care,108,75
P0068,Electronics Item 68,Electronics,36259,25381
P0069,Electronics Item 69,Electronics,35751,25025
P0070,Grocery Item 70,Grocery,881,616
P0071,Personal Care Item 71,Personal Care,318,222
P0072,Grocery Item 72,Grocery,375,262
P0073,Personal Care Item 73,Personal Care,1249,874
P0074,Apparel Item 74,Apparel,1171,819
P0075,Grocery Item 75,Grocery,394,275
P0076,Apparel Item 76,Apparel,1350,944
P0077,Electronics Item 77,Electronics,35822,25075
P0078,Apparel Item 78,Apparel,1537,1075
P0079,Apparel Item 79,Apparel,4675,3272
P0080,Apparel Item 80,Apparel,3841,2688
P0081,Electronics Item 81,Electronics,49656,34759
P0082,Personal Care Item 82,Personal Care,659,461
P0083,Personal Care Item 83,Personal Care,484,338
P0084,Home & Kitchen Item 84,Home & Kitchen,9971,6979
P0085,Apparel Item 85,Apparel,986,690
P0086,Home & Kitchen Item 86,Home & Kitchen,4457,3119
P0087,Personal Care Item 87,Personal Care,1465,1025
P0088,Home & Kitchen Item 88,Home & Kitchen,4153,2907
P0089,Personal Care Item 89,Personal Care,699,489
P0090,Grocery Item 90,Grocery,328,229
P0091,Home & Kitchen Item 91,Home & Kitchen,7742,5419
P0092,Personal Care Item 92,Personal Care,689,482
P0093,Grocery Item 93,Grocery,560,392
P0094,Personal Care Item 94,Personal Care,355,248
P0095,Home & Kitchen Item 95,Home & Kitchen,5177,3623
P0096,Personal Care Item 96,Personal Care,1119,783
P0097,Electronics Item 97,Electronics,12511,8757
P0098,Home & Kitchen Item 98,Home & Kitchen,4132,2892
P0099,Grocery Item 99,Grocery,1465,1025
P0100,Apparel Item 100,Apparel,2010,1407
P0101,Personal Care Item 101,Personal Care,345,241
P0102,Apparel Item 102,Apparel,1585,1109
P0103,Electronics Item 103,Electronics,20129,14090
P0104,Apparel Item 104,Apparel,881,616
P0105,Electronics Item 105,Electronics,49831,34881
P0106,Home & Kitchen Item 106,Home & Kitchen,3178,2224
P0107,Apparel Item 107,Apparel,2765,1935
P0108,Electronics Item 108,Electronics,42655,29858
P0109,Electronics Item 109,Electronics,47719,33403
P0110,Apparel Item 110,Apparel,1407,984
P0111,Electronics Item 111,Electronics,32089,22462
P0112,Electronics Item 112,Electronics,27371,19159
P0113,Apparel Item 113,Apparel,4162,2913
P0114,Apparel Item 114,Apparel,1704,1192
P0115,Electronics Item 115,Electronics,29166,20416
P0116,Grocery Item 116,Grocery,891,623
P0117,Home & Kitchen Item 117,Home & Kitchen,9501,6650
P0118,Grocery Item 118,Grocery,958,670
P0119,Apparel Item 119,Apparel,1695,1186
P0120,Apparel Item 120,Apparel,3688,2581
P0121,Grocery Item 121,Grocery,435,304
P0122,Apparel Item 122,Apparel,4513,3159
P0123,Home & Kitchen Item 123,Home & Kitchen,5487,3840
P0124,Home & Kitchen Item 124,Home & Kitchen,1801,1260
P0125,Grocery Item 125,Grocery,56,39
P0126,Home & Kitchen Item 126,Home & Kitchen,8595,6016
P0127,Apparel Item 127,Apparel,1003,702
P0128,Electronics Item 128,Electronics,35064,24544
P0129,Personal Care Item 129,Personal Care,692,484
P0130,Apparel Item 130,Apparel,3886,2720
P0131,Electronics Item 131,Electronics,23822,16675
P0132,Apparel Item 132,Apparel,2821,1974
P0133,Grocery Item 133,Grocery,412,288
P0134,Home & Kitchen Item 134,Home & Kitchen,1225,857
P0135,Home & Kitchen Item 135,Home & Kitchen,9676,6773
P0136,Electronics Item 136,Electronics,43435,30404
P0137,Home & Kitchen Item 137,Home & Kitchen,6699,4689
P0138,Grocery Item 138,Grocery,1369,958
P0139,Apparel Item 139,Apparel,4181,2926
P0140,Apparel Item 140,Apparel,2757,1929
P0141,Home & Kitchen Item 141,Home & Kitchen,7399,5179
P0142,Grocery Item 142,Grocery,378,264
P0143,Home & Kitchen Item 143,Home & Kitchen,4613,3229
P0144,Home & Kitchen Item 144,Home & Kitchen,3187,2230
P0145,Electronics Item 145,Electronics,20363,14254
P0146,Home & Kitchen Item 146,Home & Kitchen,7300,5110
P0147,Apparel Item 147,Apparel,4675,3272
P0148,Apparel Item 148,Apparel,1399,979
P0149,Grocery Item 149,Grocery,1527,1068
P0150,Grocery Item 150,Grocery,1119,783
P0151,Grocery Item 151,Grocery,1462,1023
P0152,Electronics Item 152,Electronics,22813,15969
P0153,Personal Care Item 153,Personal Care,735,514
P0154,Home & Kitchen Item 154,Home & Kitchen,1332,932
P0155,Electronics Item 155,Electronics,42169,29518
