shipment_id,transaction_id,ship_date,delivery_date,status,courier
SHP76707,TXN00015071,2024-02-18,2024-02-19,Delivered,Delhivery
SHP51973,TXN00091677,2024-06-25,2024-07-01,Delivered,EcomExpress
SHP23446,TXN00016852,2024-04-29,2024-05-02,Delivered,Shadowfax
SHP26832,TXN00046080,2024-06-02,2024-06-03,Delivered,Delhivery
SHP70971,TXN00061809,2024-04-06,2024-04-08,Delivered,EcomExpress
SHP30330,TXN00076033,2024-05-26,2024-05-27,Delivered,Shadowfax
SHP77506,TXN00051001,2024-04-14,2024-04-23,Delivered,EcomExpress
SHP98947,TXN00093360,2024-04-08,2024-04-17,Delivered,Shadowfax
SHP47608,TXN00080090,2024-05-18,2024-05-19,Delivered,Shadowfax
SHP50300,TXN00060732,2024-05-23,2024-06-01,Delivered,EcomExpress
SHP87239,TXN00073383,2024-03-04,2024-03-14,Delivered,Shadowfax
SHP11708,TXN00049974,2024-02-08,2024-02-11,Delivered,EcomExpress
SHP69766,TXN00068611,2024-03-15,2024-03-23,Delivered,Shadowfax
SHP84796,TXN00074453,2024-03-26,2024-03-31,Delivered,Shadowfax
SHP54502,TXN00059176,2024-05-13,2024-05-22,Delivered,BlueDart
SHP37668,TXN00067721,2024-05-19,2024-05-22,Delivered,BlueDart
SHP54529,TXN00037000,2024-02-15,2024-02-20,Delivered,Shadowfax
SHP52858,TXN00070170,2024-06-24,2024-07-01,Delivered,Shadowfax
SHP21165,TXN00088271,2024-01-18,2024-01-19,Delivered,Delhivery
SHP73513,TXN00041019,2024-01-22,2024-01-31,Delivered,Shadowfax
SHP43003,TXN00067778,2024-05-31,2024-06-09,Delivered,BlueDart
SHP33121,TXN00068035,2024-04-11,2024-04-20,Delivered,EcomExpress
SHP60562,TXN00045672,2024-03-15,2024-03-20,Delivered,Delhivery
SHP94906,TXN00051536,2024-04-11,2024-04-20,Delivered,Shadowfax
SHP24307,TXN00097201,2024-04-10,2024-04-12,Delivered,Shadowfax
SHP67001,TXN00024496,2024-02-18,2024-02-20,Delivered,BlueDart
SHP63254,TXN00026662,2024-04-13,2024-04-23,Delivered,EcomExpress
SHP79291,TXN00039735,2024-02-01,2024-02-10,Delivered,EcomExpress
SHP38736,TXN00016623,2024-06-11,2024-06-20,Delivered,Shadowfax
SHP74023,TXN00022335,2024-06-22,2024-06-25,Delivered,EcomExpress
SHP35544,TXN00046770,2024-04-15,2024-04-18,Delivered,BlueDart
SHP19067,TXN00028215,2024-04-01,2024-04-05,Delivered,Delhivery
SHP92179,TXN00014777,2024-01-05,2024-01-13,Delivered,Shadowfax
SHP90565,TXN00075401,2024-02-22,2024-03-03,Delivered,Delhivery
SHP57521,TXN00068522,2024-04-08,2024-04-12,Delivered,Shadowfax
SHP76946,TXN00037500,2024-03-31,2024-04-09,Delivered,EcomExpress
SHP11155,TXN00068630,2024-01-05,2024-01-14,Delivered,BlueDart
SHP82611,TXN00041874,2024-01-13,2024-01-22,Delivered,Delhivery
SHP58055,TXN00052398,2024-03-01,2024-03-10,Delivered,BlueDart
SHP18642,TXN00046087,2024-05-31,2024-06-03,Delivered,BlueDart
SHP70940,TXN00036679,2024-04-18,2024-04-22,Delivered,Delhivery
SHP62336,TXN00091866,2024-02-02,2024-02-09,Delivered,BlueDart
SHP72686,TXN00092775,2024-04-13,2024-04-20,Delivered,EcomExpress
SHP45323,TXN00008318,2024-06-02,2024-06-06,Delivered,Shadowfax
SHP66483,TXN00059873,2024-05-19,2024-05-24,Delivered,Delhivery
SHP16629,TXN00015443,2024-04-13,2024-04-22,Delivered,BlueDart
SHP76521,TXN00048679,2024-02-04,2024-02-09,Delivered,Delhivery
SHP16167,TXN00059156,2024-04-06,2024-04-16,Delivered,Delhivery
SHP10963,TXN00027951,2024-04-04,2024-04-05,Delivered,Shadowfax
SHP30099,TXN00076148,2024-04-06,2024-04-13,Delivered,Delhivery
SHP91765,TXN00019896,2024-02-27,2024-03-01,Delivered,Delhivery
SHP64558,TXN00048344,2024-05-19,2024-05-25,Delivered,Delhivery
SHP10431,TXN00024141,2024-06-13,2024-06-14,Delivered,EcomExpress
SHP44983,TXN00048148,2024-02-13,2024-02-22,Delivered,Delhivery
SHP15232,TXN00067840,2024-06-03,2024-06-04,Delivered,Shadowfax
SHP40377,TXN00075235,2024-01-30,2024-02-07,Delivered,Shadowfax
SHP21076,TXN00016702,2024-02-02,2024-02-11,Delivered,Shadowfax
SHP37234,TXN00039899,2024-06-19,2024-06-28,Delivered,Shadowfax
SHP25805,TXN00048774,2024-04-07,2024-04-13,Delivered,BlueDart
SHP44517,TXN00018148,2024-04-16,2024-04-18,Delivered,Delhivery
SHP77334,TXN00020125,2024-02-10,2024-02-19,Delivered,Delhivery
SHP89557,TXN00068061,2024-01-11,2024-01-19,Delivered,Shadowfax
SHP34652,TXN00014251,2024-06-02,2024-06-05,Delivered,Shadowfax
SHP98054,TXN00004413,2024-04-18,2024-04-23,Delivered,Delhivery
SHP17658,TXN00080614,2024-03-24,2024-03-31,Delivered,EcomExpress
SHP44872,TXN00028382,2024-03-26,2024-04-05,Delivered,BlueDart
SHP22760,TXN00092321,2024-03-07,2024-03-09,Delivered,Shadowfax
SHP41695,TXN00003845,2024-04-21,2024-04-30,Delivered,Delhivery
SHP60667,TXN00016746,2024-05-30,2024-06-02,Delivered,EcomExpress
SHP75825,TXN00062310,2024-05-26,2024-06-04,Delivered,EcomExpress
SHP12713,TXN00070759,2024-05-29,2024-06-01,Delivered,Shadowfax
SHP12102,TXN00017178,2024-05-13,2024-05-20,Delivered,Shadowfax
SHP93693,TXN00076952,2024-06-09,2024-06-12,Delivered,EcomExpress
SHP49332,TXN00076008,2024-04-06,2024-04-12,Delivered,Delhivery
SHP55785,TXN00090635,2024-03-12,2024-03-20,Delivered,Shadowfax
SHP20338,TXN00017341,2024-04-28,2024-05-04,Delivered,Delhivery
SHP74511,TXN00096371,2024-02-05,2024-02-08,Delivered,Delhivery
SHP49612,TXN00090441,2024-04-17,2024-04-22,Delivered,Delhivery
