store_id,store_name,city,opened_date
ST000,RetailOS Delhi 1,Delhi,2023-09-04
ST001,RetailOS Kolkata 4,Kolkata,2021-03-20
ST002,RetailOS Chennai 3,Chennai,2022-03-20
ST003,RetailOS Delhi 9,Delhi,2022-01-04
ST004,RetailOS Delhi 10,Delhi,2024-01-23
ST005,RetailOS Hyderabad 1,Hyderabad,2023-10-28
ST006,RetailOS Mumbai 2,Mumbai,2024-09-07
ST007,RetailOS Chennai 4,Chennai,2021-06-19
ST008,RetailOS Jaipur 10,Jaipur,2022-10-21
ST009,RetailOS Mumbai 9,Mumbai,2021-03-27
ST010,RetailOS Chennai 9,Chennai,2021-12-28
ST011,RetailOS Hyderabad 4,Hyderabad,2023-02-20
ST012,RetailOS Ahmedabad 10,Ahmedabad,2021-03-22
ST013,RetailOS Kolkata 1,Kolkata,2021-11-29
ST014,RetailOS Bangalore 7,Bangalore,2023-09-19
ST015,RetailOS Pune 5,Pune,2023-04-19
ST016,RetailOS Bangalore 4,Bangalore,2021-12-31
ST017,RetailOS Pune 2,Pune,2023-06-22
ST018,RetailOS Delhi 7,Delhi,2024-05-09
ST019,RetailOS Delhi 6,Delhi,2021-02-21
ST020,RetailOS Pune 10,Pune,2024-05-04
ST021,RetailOS Kolkata 1,Kolkata,2023-11-28
ST022,RetailOS Ahmedabad 9,Ahmedabad,2022-06-24
ST023,RetailOS Delhi 7,Delhi,2021-09-27
ST024,RetailOS Delhi 9,Delhi,2024-12-11
ST025,RetailOS Kolkata 10,Kolkata,2022-06-18
ST026,RetailOS Pune 10,Pune,2021-06-27
ST027,RetailOS Chennai 2,Chennai,2021-07-03
ST028,RetailOS Mumbai 4,Mumbai,2024-07-04
ST029,RetailOS Kolkata 2,Kolkata,2023-07-14
ST030,RetailOS Chennai 2,Chennai,2024-05-06
ST031,RetailOS Hyderabad 5,Hyderabad,2024-01-14
ST032,RetailOS Ahmedabad 6,Ahmedabad,2023-04-06
ST033,RetailOS Bangalore 6,Bangalore,2025-01-03
ST034,RetailOS Pune 4,Pune,2022-08-19
ST035,RetailOS Kolkata 2,Kolkata,2023-04-29
ST036,RetailOS Surat 3,Surat,2024-06-07
ST037,RetailOS Jaipur 4,Jaipur,2023-08-04
ST038,RetailOS Bangalore 8,Bangalore,2024-07-24
ST039,RetailOS Hyderabad 5,Hyderabad,2023-06-05
ST040,RetailOS Jaipur 4,Jaipur,2023-12-08
ST041,RetailOS Pune 1,Pune,2021-04-19
ST042,RetailOS Chennai 1,Chennai,2022-01-10
ST043,RetailOS Pune 7,Pune,2022-04-10
ST044,RetailOS Kolkata 2,Kolkata,2021-06-08
ST045,RetailOS Chennai 10,Chennai,2022-01-18
ST046,RetailOS Pune 4,Pune,2021-07-09
ST047,RetailOS Ahmedabad 7,Ahmedabad,2022-03-25
ST048,RetailOS Ahmedabad 3,Ahmedabad,2023-08-29
ST049,RetailOS Kolkata 3,Kolkata,2022-07-30
