transaction_id,date,store_id,customer_id,product_id,quantity,price,payment_method
TXN00076880,2024-05-27,ST027,CUST00808,P0195,5,2970,UPI
TXN00038373,2024-06-10,ST038,CUST00383,P0180,2,4029,Credit Card
TXN00021367,2024-05-14,ST049,CUST01709,P0320,2,231,Cash
TXN00049675,2024-01-24,ST044,CUST06632,P0015,5,85,UPI
TXN00008589,2024-04-23,ST005,CUST09478,P0344,2,22551,UPI
TXN00001216,2024-01-18,ST033,CUST06202,P0299,3,1591,Credit Card
TXN00078180,2024-04-09,ST017,CUST05354,P0182,1,11762,UPI
TXN00018352,2024-05-14,ST006,CUST09987,P0236,3,2778,Cash
TXN00031255,2024-01-11,ST005,CUST07509,P0245,2,775,UPI
TXN00012216,2024-03-29,ST006,CUST07131,P0037,3,845,Debit Card
TXN00037033,2024-03-16,ST037,CUST01543,P0442,4,3709,Credit Card
TXN00049439,2024-04-08,ST000,CUST04261,P0424,2,9203,Debit Card
TXN00004086,2024-01-28,ST011,CUST00722,P0138,4,1369,UPI
TXN00056224,2024-01-10,ST027,CUST06928,P0045,1,1327,Credit Card
TXN00015613,2024-03-15,ST006,CUST04794,P0347,4,354,Credit Card
TXN00074282,2024-02-28,ST030,CUST09248,P0326,4,3883,Debit Card
TXN00071027,2024-05-18,ST038,CUST07539,P0409,3,44312,Credit Card
TXN00044221,2024-03-29,ST025,CUST04652,P0372,5,218,Cash
TXN00024645,2024-05-29,ST032,CUST03045,P0398,4,126,Credit Card
TXN00096724,2024-03-31,ST029,CUST07384,P0432,5,361,Cash
TXN00090581,2024-02-26,ST027,CUST02222,P0492,3,322,Credit Card
TXN00087132,2024-03-31,ST009,CUST05841,P0100,4,2010,Credit Card
TXN00087775,2024-01-04,ST027,CUST06677,P0494,2,3336,UPI
TXN00035756,2024-05-15,ST018,CUST07987,P0052,2,261,Debit Card
TXN00026556,2024-06-03,ST049,CUST04020,P0234,3,121,Cash
TXN00005471,2024-03-06,ST034,CUST05038,P0085,5,986,Cash
TXN00037332,2024-05-06,ST012,CUST06076,P0299,4,1591,Debit Card
TXN00063308,2024-03-25,ST016,CUST09907,P0087,4,1465,Debit Card
TXN00017106,2024-05-04,ST019,CUST03975,P0351,3,4984,Debit Card
TXN00052908,2024-02-22,ST017,CUST06115,P0443,1,1298,Credit Card
TXN00050425,2024-01-12,ST019,CUST00484,P0188,2,49627,Credit Card
TXN00057604,2024-05-18,ST043,CUST00264,P0200,5,1473,Credit Card
TXN00033923,2024-04-24,ST013,CUST05417,P0456,5,3836,Debit Card
TXN00050246,2024-05-29,ST026,CUST02494,P0080,4,3841,UPI
TXN00059302,2024-06-15,ST017,CUST01302,P0422,2,6364,Debit Card
TXN00087230,2024-02-16,ST015,CUST06502,P0409,4,44312,Credit Card
TXN00072275,2024-01-12,ST024,CUST05292,P0324,3,7188,Credit Card
TXN00097038,2024-03-24,ST025,CUST00778,P0498,2,12590,UPI
TXN00097542,2024-06-13,ST023,CUST00389,P0141,4,7399,UPI
TXN00078336,2024-06-25,ST034,CUST06884,P0477,4,17644,Credit Card
TXN00008588,2024-04-01,ST034,CUST09175,P0044,3,4800,Debit Card
TXN00095447,2024-05-06,ST020,CUST01692,P0497,5,1585,UPI
TXN00017968,2024-03-24,ST032,CUST04035,P0416,3,1603,Credit Card
TXN00073274,2024-03-22,ST022,CUST07892,P0315,1,200,Debit Card
TXN00023624,2024-03-14,ST048,CUST09303,P0469,2,29040,Cash
TXN00076104,2024-03-16,ST033,CUST02283,P0021,3,1166,Debit Card
TXN00020644,2024-02-10,ST015,CUST01249,P0290,4,1164,Debit Card
TXN00041867,2024-01-16,ST033,CUST05961,P0367,4,3138,Credit Card
TXN00039092,2024-05-29,ST048,CUST05171,P0367,5,3138,Credit Card
TXN00038634,2024-05-23,ST003,CUST03807,P0147,1,4675,Debit Card
TXN00002191,2024-06-11,ST022,CUST06636,P0386,5,6041,Debit Card
TXN00050965,2024-03-27,ST035,CUST00513,P0026,4,295,Credit Card
TXN00080875,2024-06-06,ST029,CUST04940,P0011,2,457,UPI
TXN00076657,2024-05-30,ST041,CUST05120,P0412,4,198,UPI
TXN00094472,2024-01-13,ST019,CUST03699,P0123,1,5487,Debit Card
TXN00043086,2024-06-17,ST039,CUST02136,P0183,5,380,Debit Card
TXN00093230,2024-01-15,ST036,CUST06351,P0286,1,5755,Credit Card
TXN00069737,2024-03-15,ST017,CUST09256,P0269,2,4915,Cash
TXN00079950,2024-01-10,ST033,CUST00079,P0326,1,3883,Credit Card
TXN00044660,2024-02-01,ST005,CUST03085,P0121,4,435,Debit Card
TXN00084281,2024-01-30,ST007,CUST08763,P0009,3,1037,Debit Card
TXN00097263,2024-06-11,ST022,,P0182,5,11762,Credit Card
TXN00054959,2024-01-14,ST038,CUST03415,P0350,5,1805,Cash
TXN00018295,2024-04-20,ST017,CUST02429,P0407,5,1658,Cash
TXN00064600,2024-01-20,ST034,CUST00359,P0206,4,37083,Cash
TXN00099078,2024-04-13,ST044,CUST09811,P0424,3,9203,Cash
TXN00036502,2024-04-09,ST035,CUST04760,P0417,4,6292,Credit Card
TXN00049340,2024-03-29,ST048,CUST03999,P0272,5,291,Debit Card
TXN00008764,2024-02-04,ST017,CUST03207,P0163,5,959,Credit Card
TXN00034117,2024-03-03,ST016,CUST01160,P0485,1,1318,Debit Card
TXN00082236,2024-01-28,ST024,CUST08134,P0307,4,14868,Credit Card
TXN00076766,2024-04-24,ST004,CUST02566,P0451,3,512,Cash
TXN00034653,2024-02-03,ST014,CUST09617,P0483,1,4232,Debit Card
TXN00096961,2024-01-18,ST009,CUST06422,P0372,4,218,Debit Card
TXN00005984,2024-01-31,ST012,CUST06877,P0362,1,4773,UPI
TXN00094243,2024-04-12,ST033,CUST00692,P0179,3,1059,Credit Card
TXN00085140,2024-02-01,ST009,,P0145,2,20363,Credit Card
TXN00059245,2024-06-30,ST029,CUST02920,P0242,1,1511,Cash
TXN00080004,2024-06-14,ST022,CUST01448,P0397,5,226,Credit Card
TXN00010456,2024-02-23,ST030,CUST03985,P0421,5,1134,Cash
TXN00089260,2024-06-13,ST008,CUST09507,P0158,2,4841,Cash
TXN00017775,2024-05-03,ST025,CUST04518,P0278,1,2306,Cash
TXN00049684,2024-02-06,ST026,CUST07677,P0411,1,3027,Credit Card
TXN00059210,2024-04-06,ST034,CUST01364,P0449,3,687,Debit Card
TXN00030596,2024-04-10,ST049,CUST05455,P0384,5,690,Debit Card
TXN00097402,2024-03-13,ST026,CUST01498,P0435,4,6469,Debit Card
TXN00001474,2024-03-09,ST036,CUST08475,P0322,2,663,Debit Card
TXN00049529,2024-04-13,ST025,CUST08635,P0305,2,5705,Credit Card
TXN00067621,2024-06-25,ST027,CUST06239,P0097,5,12511,Credit Card
TXN00005105,2024-01-23,ST041,CUST08482,P0032,2,24674,Cash
TXN00009014,2024-02-23,ST008,CUST09720,P0212,2,32990,Debit Card
TXN00044330,2024-01-25,ST015,CUST00120,P0055,4,1208,Cash
TXN00002547,2024-03-22,ST037,CUST05477,P0498,3,12590,Cash
TXN00065608,2024-04-26,ST002,CUST02570,P0394,4,465,Cash
TXN00028641,2024-06-03,ST031,CUST00347,P0476,3,1294,Credit Card
TXN00009781,2024-03-21,ST039,CUST04163,P0446,4,1286,Debit Card
TXN00080763,2024-05-01,ST027,CUST03326,P0129,4,692,UPI
TXN00041896,2024-05-09,ST037,CUST07074,P0446,1,1286,Debit Card
TXN00093545,2024-04-02,ST033,CUST03482,P0470,1,27117,Credit Card
TXN00040099,2024-03-29,ST018,CUST03301,P0103,2,20129,Debit Card
TXN00023005,2024-01-21,ST026,CUST08852,P0447,1,13072,Cash
TXN00052527,2024-06-12,ST024,CUST09636,P0268,4,251,Debit Card
TXN00067431,2024-04-22,ST031,CUST08557,P0422,5,6364,Cash
TXN00018713,2024-05-22,ST042,CUST08186,P0052,3,261,Cash
TXN00035142,2024-01-13,ST049,CUST01285,P0379,4,17228,Cash
TXN00061604,2024-01-30,ST019,CUST09911,P0443,2,1298,UPI
TXN00089509,2024-06-09,ST020,CUST09199,P0104,2,881,Cash
TXN00021401,2024-05-05,ST040,CUST05752,P0218,4,444,UPI
TXN00082375,2024-01-21,ST025,CUST09285,P0033,3,2615,Cash
TXN00077835,2024-02-22,ST020,CUST09552,P0468,1,934,Debit Card
TXN00086835,2024-02-02,ST013,CUST01576,P0265,5,1535,Cash
TXN00098107,2024-03-15,ST003,CUST07535,P0252,4,1291,Debit Card
TXN00094906,2024-01-28,ST041,CUST06116,P0365,2,374,UPI
TXN00030027,2024-05-14,ST025,CUST05697,P0417,3,6292,Debit Card
TXN00086610,2024-03-28,ST045,CUST03665,P0012,1,7384,UPI
TXN00020117,2024-03-27,ST036,CUST04786,P0214,3,1592,Debit Card
TXN00076891,2024-04-15,ST005,CUST08243,P0489,5,33166,Debit Card
TXN00005598,2024-04-21,ST011,CUST07788,P0008,4,4549,Credit Card
TXN00050808,2024-02-09,ST030,CUST03589,P0495,2,531,Cash
TXN00052275,2024-04-03,ST025,CUST01837,P0106,5,3178,Debit Card
TXN00020032,2024-05-04,ST037,CUST00489,P0206,5,37083,UPI
TXN00054663,2024-03-21,ST013,CUST07730,P0230,2,3521,Cash
TXN00063382,2024-05-27,ST005,CUST04650,P0219,4,1785,Debit Card
TXN00095893,2024-05-18,ST023,CUST00894,P0079,2,4675,Debit Card
TXN00090133,2024-03-27,ST007,CUST02114,P0490,4,1226,UPI
TXN00092041,2024-04-29,ST040,CUST04524,P0272,5,291,Debit Card
TXN00073633,2024-04-15,ST031,CUST09220,P0497,2,1585,UPI
TXN00057051,2024-02-15,ST027,CUST05041,P0174,3,4215,Cash
TXN00019722,2024-03-30,ST036,CUST06445,P0183,4,380,Credit Card
TXN00049666,2024-01-04,ST033,CUST03404,P0093,1,560,Credit Card
TXN00058113,2024-03-23,ST034,CUST00127,P0091,5,7742,Cash
TXN00010774,2024-02-15,ST010,CUST08642,P0241,5,1861,Debit Card
TXN00057744,2024-01-21,ST038,CUST04734,P0212,3,32990,Debit Card
TXN00040681,2024-02-04,ST012,CUST07857,P0174,2,4215,Cash
TXN00028574,2024-02-07,ST044,CUST01525,P0451,1,512,Cash
TXN00008676,2024-01-31,ST024,CUST02587,P0350,1,1805,UPI
TXN00001368,2024-02-07,ST006,CUST01944,P0340,3,827,Cash
TXN00056798,2024-02-09,ST007,CUST06475,P0112,3,27371,Credit Card
TXN00088724,2024-02-24,ST026,CUST08439,P0399,1,1456,UPI
TXN00067953,2024-03-15,ST009,CUST02685,P0193,3,21807,Debit Card
TXN00063938,2024-03-21,ST038,CUST09630,P0253,1,664,Cash
TXN00020655,2024-05-22,ST038,CUST02484,P0119,2,1695,Debit Card
TXN00034982,2024-05-02,ST031,CUST08828,P0256,2,1052,Debit Card
TXN00058330,2024-06-05,ST043,CUST09883,P0096,4,1119,Debit Card
TXN00030971,2024-02-25,ST009,CUST02055,P0229,3,1759,Credit Card
TXN00050035,2024-03-21,ST042,CUST01179,P0402,2,2211,Cash
TXN00029422,2024-02-19,ST015,CUST06583,P0278,3,2306,Debit Card
TXN00099350,2024-05-06,ST012,CUST09196,P0476,5,1294,Cash
TXN00003524,2024-02-05,ST044,CUST03586,P0431,1,2835,Cash
TXN00021931,2024-06-07,ST006,CUST09856,P0396,3,4314,Cash
TXN00008810,2024-02-12,ST047,CUST06787,P0207,4,3873,Credit Card
TXN00071616,2024-06-23,ST010,CUST00039,P0346,3,5142,Debit Card
TXN00039686,2024-02-26,ST028,CUST02416,P0449,5,687,UPI
TXN00077747,2024-01-28,ST030,CUST05344,P0287,2,48573,Cash
TXN00059875,2024-03-30,ST011,CUST02552,P0086,2,4457,Debit Card
TXN00064056,2024-05-11,ST045,CUST06878,P0296,1,3394,Debit Card
TXN00035384,2024-06-26,ST021,CUST05219,P0102,3,1585,Cash
TXN00014268,2024-06-09,ST003,CUST03795,P0069,3,35751,Credit Card
TXN00070436,2024-03-09,ST022,CUST05037,P0048,2,1622,UPI
TXN00062026,2024-04-18,ST001,CUST05181,P0085,3,986,Debit Card
TXN00069951,2024-04-14,ST028,CUST02687,P0437,5,1543,Credit Card
TXN00051639,2024-01-01,ST032,CUST08904,P0183,2,380,Debit Card
TXN00074626,2024-01-20,ST030,CUST00276,P0480,1,7518,UPI
TXN00066780,2024-04-09,ST006,CUST05926,P0264,5,4915,Cash
TXN00070346,2024-06-03,ST047,CUST05278,P0246,4,3578,Credit Card
TXN00043892,2024-01-05,ST036,CUST07182,P0158,3,4841,Debit Card
TXN00095309,2024-05-24,ST015,CUST06817,P0221,5,2104,Debit Card
TXN00067253,2024-04-13,ST044,CUST06367,P0309,5,1373,Debit Card
TXN00034063,2024-01-24,ST020,CUST00727,P0354,2,3597,Cash
TXN00075024,2024-03-28,ST013,CUST03623,P0318,1,3595,Debit Card
TXN00090731,2024-01-08,ST000,CUST06151,P0288,3,6988,Credit Card
TXN00072894,2024-06-30,ST046,CUST01516,P0171,5,1257,Debit Card
TXN00012526,2024-01-03,ST011,CUST08801,P0480,1,7518,Debit Card
TXN00064381,2024-03-26,ST047,CUST08138,P0345,1,13022,UPI
TXN00095984,2024-05-11,ST013,CUST09324,P0389,3,1186,Debit Card
TXN00004906,2024-06-23,ST011,CUST05969,P0297,3,826,Debit Card
TXN00020576,2024-05-16,ST040,CUST06368,P0157,4,566,UPI
TXN00080756,2024-05-25,ST041,CUST05064,P0176,4,27029,UPI
TXN00083136,2024-02-03,ST043,CUST06951,P0069,4,35751,Cash
TXN00026921,2024-02-10,ST030,CUST07060,P0207,2,3873,Cash
TXN00031048,2024-04-04,ST043,CUST00545,P0072,5,375,Debit Card
TXN00062497,2024-06-11,ST021,CUST06543,P0026,1,295,Cash
TXN00017762,2024-03-14,ST009,CUST01603,P0292,5,2609,Credit Card
TXN00091976,2024-06-26,ST004,CUST04051,P0341,5,45920,Debit Card
TXN00047230,2024-02-16,ST012,CUST07390,P0441,1,1492,Credit Card
TXN00013787,2024-01-19,ST040,CUST07530,P0261,5,1081,Debit Card
TXN00043128,2024-06-26,ST027,CUST09693,P0134,5,1225,Debit Card
TXN00083211,2024-01-23,ST039,CUST07611,P0390,5,146,Credit Card
TXN00057814,2024-01-05,ST025,CUST00216,P0495,5,531,Debit Card
TXN00059503,2024-06-14,ST042,CUST06140,P0075,4,394,UPI
TXN00054061,2024-01-07,ST044,CUST08195,P0497,3,1585,Credit Card
TXN00034730,2024-05-18,ST026,CUST01234,P0006,1,1405,Cash
TXN00054030,2024-03-22,ST011,CUST04675,P0163,2,959,Debit Card
TXN00049803,2024-03-22,ST038,CUST02828,P0339,5,1042,Credit Card
TXN00084781,2024-03-28,ST018,CUST00042,P0484,2,25996,Credit Card
TXN00071278,2024-03-07,ST035,CUST03434,P0345,2,13022,Credit Card
TXN00079156,2024-05-26,ST008,CUST03201,P0128,4,35064,UPI
TXN00047538,2024-04-16,ST025,CUST08448,P0287,1,48573,Credit Card
TXN00011907,2024-03-28,ST025,CUST02998,P0007,2,2096,Credit Card
TXN00060878,2024-06-26,ST020,CUST02003,P0344,3,22551,Cash
TXN00062242,2024-04-03,ST043,CUST08009,P0449,4,687,Credit Card
TXN00020824,2024-04-14,ST016,CUST04718,P0421,2,1134,Credit Card
TXN00028739,2024-04-08,ST036,CUST05915,P0028,1,553,Credit Card
TXN00045607,2024-01-23,ST047,CUST00593,P0107,4,2765,Cash
TXN00006836,2024-03-17,ST001,CUST01912,P0034,5,3507,Credit Card
TXN00099222,2024-04-28,ST021,CUST06090,P0101,4,345,UPI
TXN00038130,2024-04-07,ST007,CUST00366,P0315,1,200,UPI
TXN00008615,2024-06-20,ST019,CUST02920,P0044,2,4800,Credit Card
TXN00001236,2024-06-02,ST012,CUST02359,P0047,4,11236,UPI
TXN00044098,2024-02-12,ST022,CUST05351,P0079,1,4675,Credit Card
TXN00020984,2024-06-13,ST011,,P0423,4,2561,Cash
TXN00006273,2024-04-06,ST010,CUST06100,P0127,1,1003,Cash
TXN00045660,2024-02-10,ST049,CUST03467,P0134,1,1225,Debit Card
TXN00040461,2024-02-17,ST042,CUST04747,P0398,2,126,Debit Card
TXN00004167,2024-01-21,ST028,CUST09374,P0164,4,798,UPI
TXN00060447,2024-04-08,ST012,CUST01312,P0084,4,9971,Cash
TXN00002835,2024-06-14,ST023,CUST08655,P0109,5,47719,Cash
TXN00040882,2024-03-08,ST003,CUST01502,P0076,5,1350,Cash
TXN00087131,2024-01-03,ST027,CUST02437,P0207,3,3873,Debit Card
TXN00071564,2024-02-04,ST028,CUST04241,P0220,4,870,Cash
TXN00079447,2024-03-31,ST004,CUST05603,P0132,3,2821,UPI
TXN00023264,2024-05-08,ST021,CUST09134,P0168,3,5115,Debit Card
TXN00054954,2024-06-09,ST016,CUST09358,P0317,1,1864,Cash
TXN00083861,2024-01-19,ST018,CUST01912,P0175,5,3160,UPI
TXN00045466,2024-02-13,ST004,CUST00270,P0143,1,4613,Credit Card
TXN00067465,2024-05-01,ST013,CUST09906,P0335,2,1868,UPI
TXN00099143,2024-04-07,ST013,CUST00293,P0092,2,689,Cash
TXN00040800,2024-03-16,ST021,CUST08596,P0096,3,1119,Debit Card
TXN00087757,2024-06-07,ST015,CUST02443,P0168,4,5115,UPI
TXN00006689,2024-01-16,ST045,CUST07942,P0445,3,9997,Cash
TXN00088862,2024-01-20,ST026,CUST03912,P0348,2,1183,Debit Card
TXN00029625,2024-03-20,ST047,CUST06017,P0227,4,12725,Cash
TXN00091396,2024-06-24,ST047,CUST09449,P0104,3,881,Debit Card
TXN00055895,2024-06-03,ST001,CUST07113,P0163,3,959,UPI
TXN00076446,2024-01-19,ST046,CUST06051,P0350,3,1805,Credit Card
TXN00082125,2024-02-25,ST043,CUST04443,P0161,5,660,Credit Card
TXN00099624,2024-06-20,ST038,CUST00733,P0269,2,4915,Credit Card
