session_id,timestamp,event_type,product_id,user_id,device
SES796256,2024-03-21 04:42:00,add_to_cart,P0302,U7160,Desktop
SES147085,2024-03-28 18:07:00,view_item,P0296,,Desktop
SES362878,2024-04-14 11:59:00,view_item,P0120,,Tablet
SES480400,2024-05-11 22:14:00,view_item,P0179,,Desktop
SES516351,2024-06-29 12:56:00,add_to_cart,,,Mobile
SES230049,2024-01-17 02:01:00,add_to_cart,P0371,U5297,Tablet
SES665970,2024-01-20 14:44:00,view_item,P0271,,Tablet
SES840956,2024-05-01 16:32:00,view_item,,U8504,Tablet
SES651403,2024-02-14 20:18:00,view_item,,,Tablet
SES813466,2024-05-12 17:29:00,search,,U2233,Mobile
SES968805,2024-02-02 10:14:00,view_item,P0162,,Desktop
SES576201,2024-06-05 21:47:00,view_item,,,Tablet
SES326941,2024-05-08 12:32:00,view_item,P0413,,Mobile
SES320621,2024-02-22 12:35:00,remove_from_cart,,,Tablet
SES185194,2024-03-27 01:26:00,view_item,P0312,,Desktop
SES954829,2024-02-14 11:31:00,view_item,,,Mobile
SES644571,2024-03-23 17:35:00,remove_from_cart,P0086,U5516,Tablet
SES709170,2024-02-16 01:42:00,view_item,,,Desktop
SES820237,2024-03-25 03:01:00,view_item,P0434,,Tablet
SES302028,2024-04-25 04:14:00,purchase,P0349,,Desktop
SES998720,2024-05-24 23:57:00,add_to_cart,,,Desktop
SES571231,2024-03-25 08:37:00,add_to_cart,P0044,U5462,Mobile
SES315748,2024-04-03 22:30:00,search,P0104,U8425,Desktop
SES245067,2024-03-24 19:08:00,remove_from_cart,,,Desktop
SES222384,2024-04-19 06:53:00,remove_from_cart,P0446,,Tablet
SES337115,2024-02-01 12:39:00,view_item,P0381,U5559,Desktop
SES334168,2024-03-29 19:58:00,view_item,P0477,,Desktop
SES592797,2024-01-08 04:44:00,remove_from_cart,P0163,,Tablet
SES544133,2024-04-01 00:41:00,view_item,P0264,U3197,Tablet
SES494266,2024-04-01 03:25:00,add_to_cart,P0234,,Desktop
SES292347,2024-04-17 11:37:00,search,P0430,,Desktop
SES299713,2024-05-18 14:43:00,view_item,P0339,,Mobile
SES939068,2024-01-02 05:10:00,purchase,P0347,,Tablet
SES426383,2024-02-03 19:05:00,view_item,,U6691,Mobile
SES284601,2024-03-10 17:46:00,view_item,,,Desktop
SES115000,2024-01-27 11:26:00,view_item,P0159,U3470,Desktop
SES464204,2024-03-11 20:49:00,search,P0443,U1427,Desktop
SES299221,2024-06-06 00:12:00,add_to_cart,P0400,,Mobile
SES667584,2024-02-15 08:21:00,add_to_cart,P0349,,Tablet
SES610230,2024-03-20 13:27:00,view_item,P0392,U576,Desktop
SES463762,2024-05-23 04:50:00,view_item,P0024,,Mobile
SES988503,2024-02-05 15:41:00,view_item,P0326,U7858,Desktop
SES693688,2024-06-16 20:19:00,view_item,P0011,U6554,Desktop
SES557523,2024-01-21 10:56:00,add_to_cart,,U6276,Tablet
SES143481,2024-02-13 05:57:00,view_item,P0451,U339,Desktop
SES408286,2024-02-14 03:53:00,view_item,P0074,U2685,Desktop
SES799159,2024-05-30 10:16:00,view_item,P0371,,Desktop
SES594714,2024-04-30 06:15:00,add_to_cart,P0371,,Tablet
SES897147,2024-02-03 16:23:00,view_item,P0296,,Tablet
SES259728,2024-03-24 02:25:00,remove_from_cart,P0026,U7080,Mobile
SES156848,2024-05-09 00:55:00,search,P0305,,Tablet
SES404097,2024-02-02 03:08:00,view_item,P0290,,Tablet
SES225961,2024-06-05 17:54:00,view_item,P0273,,Mobile
SES855872,2024-02-18 10:29:00,add_to_cart,,U875,Desktop
SES547743,2024-05-29 11:33:00,view_item,P0369,,Desktop
SES990397,2024-06-01 11:41:00,view_item,P0091,U4724,Mobile
SES929146,2024-02-11 06:10:00,view_item,P0037,U7606,Tablet
SES341876,2024-01-06 03:34:00,add_to_cart,P0307,U130,Desktop
SES825158,2024-05-02 01:34:00,view_item,,,Tablet
SES872915,2024-02-02 02:03:00,view_item,P0195,,Mobile
SES731839,2024-03-20 19:10:00,view_item,P0057,U8238,Tablet
SES207382,2024-05-01 01:53:00,remove_from_cart,P0088,,Tablet
SES807116,2024-05-01 14:14:00,search,P0005,,Tablet
SES360085,2024-03-24 09:18:00,add_to_cart,P0486,,Tablet
SES995521,2024-06-23 13:15:00,add_to_cart,P0071,U3308,Mobile
SES313097,2024-01-09 05:35:00,add_to_cart,P0431,U3053,Desktop
SES626306,2024-03-02 16:51:00,search,P0092,,Desktop
SES747425,2024-05-21 13:04:00,view_item,P0354,,Desktop
SES212823,2024-01-06 00:16:00,add_to_cart,P0145,U3760,Tablet
SES911454,2024-05-04 14:01:00,view_item,P0123,,Mobile
SES996417,2024-04-08 17:55:00,view_item,P0389,,Tablet
SES793403,2024-03-24 19:40:00,search,P0038,,Mobile
SES562422,2024-02-16 14:56:00,add_to_cart,,U5555,Desktop
SES408867,2024-06-13 05:56:00,add_to_cart,P0262,,Tablet
SES607189,2024-06-21 01:22:00,search,P0261,U4924,Desktop
SES131120,2024-01-12 19:26:00,purchase,,U3856,Mobile
SES447576,2024-02-21 14:10:00,view_item,,,Tablet
SES848094,2024-03-21 23:30:00,view_item,,U470,Desktop
SES529698,2024-04-10 20:30:00,add_to_cart,P0271,,Tablet
SES993350,2024-05-06 05:01:00,add_to_cart,P0316,,Tablet
SES310832,2024-01-13 20:55:00,view_item,,,Mobile
SES535913,2024-04-30 16:55:00,view_item,P0418,,Mobile
SES527942,2024-05-28 12:55:00,purchase,P0435,U5489,Desktop
SES377695,2024-02-06 19:21:00,search,,U3082,Mobile
SES286191,2024-01-14 17:19:00,add_to_cart,P0337,,Tablet
SES937228,2024-03-22 13:05:00,add_to_cart,,U7425,Desktop
SES323051,2024-03-16 04:56:00,view_item,P0143,,Desktop
SES316255,2024-03-25 19:37:00,add_to_cart,P0225,,Desktop
SES481201,2024-02-14 04:49:00,add_to_cart,P0372,U4495,Mobile
